layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.997995084379897,0.05,0.01
1,59,1711,1711,903.652537357607,0.5281429207233238,970,4.844221557162785,0.05,0.01
2,253,31878,31878,18340.527644035352,0.5753349533858885,970,4.528354262630688,0.05,0.01
