node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_used,alpha_folder,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.997995084379897,764,1490,0.512751677852349,0.05,0.01,2.0,285,970,0,,"[1,5,472,684,703,574,753,3550,6251,6767,8271,3746,4359,934,14,10481,1718,9838,11283,8658,11341,1101,1701,11873,5536,3094,2948,8648,12556,12656,9293,9532,9842,6567,13009,82,13105,12956,12646,13171,7894,6922,13017,12043,7921,13088,12074,157,13463,13501,8974,13447,2786,8060,4666,11788,13541,12410,13649]",59
1,4.969126958224178,762,1490,0.5114093959731544,0.05,0.01,2.0,285,488,1,0.0,"[2,220,276,286,366,484,557,632,689,895,973,1036,1174,1273,1293,1313,1478,1529,1544,1725,1997,2919,3088,3244,4321,6298,6666,6976,7718,8071,8231,8713,9067,9100,9162,9168,9359,9511,9802,9891,10081,10607,10753,10956,11437,11518,11736,11880,12307,12471,12669,12710,12835,12913,12989,13027,13131,13168,13223,13276,13288,13376,13384,13432,13436,13466,13485,13493,13500,13507,13513,13532,13536,13585,13586,13596,13623,13629,13639,13648,13652,13658,13666,13674,13676]",85
2,4.775193485453926,247,1490,0.1657718120805369,0.05,0.01,2.0,285,19,2,1.0,,0
5,4.583148101413308,87,1490,0.0583892617449664,0.05,0.01,2.0,285,12,1,0.0,"[42,13551,13643,13656]",4
14,4.725468724036481,87,1490,0.0583892617449664,0.05,0.01,2.0,285,11,1,0.0,"[10499,13424,13595]",3
42,4.249384550118904,99,1490,0.0664429530201342,0.05,0.01,2.0,285,4,2,5.0,,0
82,4.488621665344067,89,1490,0.059731543624161,0.05,0.01,2.0,285,8,1,0.0,[13080],1
157,5.225998272037805,22,1490,0.0147651006711409,0.05,0.01,2.0,285,4,1,0.0,"[13462,13584]",2
220,4.3355315136724535,85,1490,0.0570469798657718,0.05,0.01,2.0,285,6,2,1.0,,0
276,4.0233758865507,87,1490,0.0583892617449664,0.05,0.01,2.0,285,5,2,1.0,,0
286,4.782063876270288,198,1490,0.1328859060402684,0.05,0.01,2.0,285,9,2,1.0,,0
366,4.432168842305567,149,1490,0.1,0.05,0.01,2.0,285,8,2,1.0,,0
472,4.584951147107171,48,1490,0.0322147651006711,0.05,0.01,2.0,285,10,1,0.0,"[882,10040,13621]",3
484,4.09668852270347,116,1490,0.0778523489932885,0.05,0.01,2.0,285,11,2,1.0,,0
557,4.28090807024131,117,1490,0.0785234899328859,0.05,0.01,2.0,285,10,2,1.0,,0
574,4.674883453724118,64,1490,0.0429530201342281,0.05,0.01,2.0,285,11,1,0.0,"[2945,13470]",2
632,4.245023711224315,143,1490,0.0959731543624161,0.05,0.01,2.0,285,11,2,1.0,,0
684,4.620696691924239,46,1490,0.0308724832214765,0.05,0.01,2.0,285,10,1,0.0,"[1356,13653]",2
689,3.8186447952588183,117,1490,0.0785234899328859,0.05,0.01,2.0,285,10,2,1.0,,0
703,4.921328783525027,55,1490,0.0369127516778523,0.05,0.01,2.0,285,8,1,0.0,"[1539,13225]",2
753,4.347911787647268,76,1490,0.0510067114093959,0.05,0.01,2.0,285,19,1,0.0,"[3174,11209,13490,13528]",4
882,4.675078786589977,48,1490,0.0322147651006711,0.05,0.01,2.0,285,2,2,472.0,,0
895,4.5515887082001605,172,1490,0.1154362416107382,0.05,0.01,2.0,285,10,2,1.0,,0
934,4.994809518824175,27,1490,0.0181208053691275,0.05,0.01,2.0,285,5,1,0.0,"[10110,13633]",2
973,4.072799491538262,94,1490,0.0630872483221476,0.05,0.01,2.0,285,7,2,1.0,,0
1036,4.223278135945306,78,1490,0.0523489932885906,0.05,0.01,2.0,285,5,2,1.0,,0
1101,4.532346609097884,55,1490,0.0369127516778523,0.05,0.01,2.0,285,13,1,0.0,"[11740,12797,13425]",3
1174,4.005247103273322,107,1490,0.0718120805369127,0.05,0.01,2.0,285,10,2,1.0,,0
1273,4.225655275360747,99,1490,0.0664429530201342,0.05,0.01,2.0,285,5,2,1.0,,0
1293,4.674055526546356,149,1490,0.1,0.05,0.01,2.0,285,13,2,1.0,,0
1313,4.461465818493807,84,1490,0.0563758389261744,0.05,0.01,2.0,285,6,2,1.0,,0
1356,4.471760784602982,114,1490,0.0765100671140939,0.05,0.01,2.0,285,9,2,684.0,,0
1478,3.989465287044621,94,1490,0.0630872483221476,0.05,0.01,2.0,285,10,2,1.0,,0
1529,4.169535818937043,131,1490,0.0879194630872483,0.05,0.01,2.0,285,12,2,1.0,,0
1539,4.229126376197418,86,1490,0.0577181208053691,0.05,0.01,2.0,285,4,2,703.0,,0
1544,4.050430796184598,91,1490,0.0610738255033557,0.05,0.01,2.0,285,9,2,1.0,,0
