record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[565, 566, 566, 558, 552, 571, 575, 578, 576, 567, 566, 546, 543, 531, 533, 547, 545, 554, 546, 531, 536]",0.9246941848176183,0.012399824160439478,0.20000000000000004,2.7755575615628914e-17,"[0.9300341296928327, 0.931740614334471, 0.9312714776632303, 0.9204152249134948, 0.9098639455782312, 0.9358108108108109, 0.9378151260504202, 0.9394957983193277, 0.9177852348993288, 0.9235993208828522, 0.9205526770293609, 0.9274336283185841, 0.9076376554174067, 0.9345454545454546, 0.9217081850533808, 0.9157894736842105, 0.8981001727115717, 0.9097222222222222, 0.9510869565217391, 0.9294755877034359]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[536, 538, 534, 534, 531, 533, 537, 539, 542, 546, 553, 553, 541, 532, 532, 533, 541, 539, 540, 543, 551]",0.9308801500259042,0.011505656978499453,0.20000000000000004,2.7755575615628914e-17,"[0.9281867145421903, 0.9245960502692998, 0.927797833935018, 0.9293478260869565, 0.9102333931777379, 0.9349005424954792, 0.9387387387387387, 0.940754039497307, 0.9359430604982206, 0.9348591549295775, 0.9234782608695652, 0.9226713532513181, 0.926391382405745, 0.966728280961183, 0.9223826714801444, 0.9351351351351351, 0.911504424778761, 0.9371633752244165, 0.9339285714285714, 0.9328621908127208]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[551, 535, 531, 536, 538, 540, 539, 542, 544, 544, 545, 541, 538, 549, 538, 531, 536, 532, 529, 533, 543]",0.9220454262436801,0.009785593604220768,0.20000000000000004,2.7755575615628914e-17,"[0.9221238938053097, 0.9311594202898551, 0.9329710144927537, 0.9247311827956989, 0.9181494661921709, 0.9029982363315696, 0.9338103756708408, 0.9358288770053476, 0.9222614840989399, 0.9240282685512368, 0.9119718309859155, 0.91651865008881, 0.9070175438596492, 0.9376114081996435, 0.9192100538599641, 0.9190647482014388, 0.9347826086956522, 0.908273381294964, 0.9169675090252708, 0.9214285714285714]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[543, 541, 541, 543, 543, 542, 545, 544, 547, 546, 543, 539, 547, 546, 550, 559, 546, 542, 547, 546, 543]",0.9271206812805863,0.013621710991051016,0.20000000000000004,2.7755575615628914e-17,"[0.9496402877697842, 0.911660777385159, 0.9391771019677997, 0.9497307001795332, 0.9340463458110517, 0.9070175438596492, 0.9308510638297872, 0.9309734513274336, 0.9413854351687388, 0.9172535211267606, 0.9390681003584229, 0.9323843416370107, 0.9379432624113475, 0.9261862917398945, 0.9120689655172414, 0.9018932874354562, 0.9256637168141593, 0.9172535211267606, 0.927689594356261, 0.9105263157894737]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[543, 545, 552, 560, 572, 570, 568, 567, 569, 557, 552, 552, 544, 548, 538, 547, 549, 563, 567, 578, 559]",0.9260267075354648,0.011783610875280993,0.20000000000000004,2.7755575615628914e-17,"[0.9222614840989399, 0.9279437609841827, 0.9372822299651568, 0.9284497444633731, 0.9388794567062818, 0.8998330550918197, 0.9302721088435374, 0.9385665529010239, 0.9247863247863248, 0.9186851211072664, 0.9067357512953368, 0.9398230088495575, 0.9191564147627417, 0.9358288770053476, 0.9340463458110517, 0.9467140319715808, 0.9238754325259516, 0.9185059422750425, 0.9115191986644408, 0.9173693086003373]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,"[559, 539, 533, 532, 530, 537, 537, 537, 528, 522, 523, 545, 549, 554, 555, 552, 557, 560, 568, 562, 563]",0.9256822558790511,0.01225000749410078,0.20000000000000004,2.7755575615628914e-17,"[0.9195804195804196, 0.9385171790235082, 0.9223826714801444, 0.9032258064516129, 0.9225225225225225, 0.9076376554174067, 0.9527272727272728, 0.9154676258992805, 0.9337016574585635, 0.9280442804428044, 0.9139784946236559, 0.9192982456140351, 0.924956369982548, 0.9153713298791019, 0.945518453427065, 0.9186851211072664, 0.9358752166377816, 0.9249146757679181, 0.9382504288164666, 0.9329896907216495]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
