layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.843623126843035
1,17,136,136,56.12859418593843,0.41271025136719436,970,5.144393156189068
2,66,2145,2145,873.4144157277191,0.4071862077984704,970,5.170174745874917
3,163,13203,13203,6355.680802218561,0.4813815649639144,970,5.107025955784643
