eta,index,t_o_t_a_l___n_o_d_e_s,t_o_t_a_l___l_a_y_e_r_s,t_o_t_a_l___b_r_a_n_c_h_e_s,g_l_o_b_a_l___a_v_g___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___s_t_d___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___m_a_x___b_r_a_n_c_h_i_n_g,g_l_o_b_a_l___t_o_t_a_l___d_o_c_u_m_e_n_t_s,g_l_o_b_a_l___g_i_n_i___d_o_c___d_i_s_t_r_i_b_u_t_i_o_n,g_l_o_b_a_l___g_i_n_i___b_r_a_n_c_h___d_i_s_t_r_i_b_u_t_i_o_n,r_u_n___i_d
0.1,mean,217.0,3.0,216.0,5.0607,9.1355,49.3333,2910.0,0.7305,0.5121,
0.1,std,13.1149,0.0,13.1149,0.0741,1.0383,8.5049,0.0,0.0028,0.0409,
0.1,count,,,,,,,,,,3.0
