node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
607,2.9602563096544574,25,1490,0.0167785234899328,0.005,2.0,115,4,2,606.0,,0
1246,2.84930817306067,22,1490,0.0147651006711409,0.005,2.0,115,4,2,137.0,,0
4162,2.6564727320431007,22,1490,0.0147651006711409,0.005,2.0,115,2,2,2357.0,,0
3154,3.316941142497782,37,1490,0.0248322147651006,0.005,2.0,115,4,1,0.0,[19380],1
6,2.9879791009530976,30,1490,0.0201342281879194,0.005,2.0,115,13,1,0.0,"[3402,4392,22352,22400,22402]",5
2535,3.5914195122456287,68,1490,0.0456375838926174,0.005,2.0,115,10,2,2320.0,,0
2102,2.945845032026274,50,1490,0.0335570469798657,0.005,2.0,115,12,2,1.0,,0
412,2.97779720004455,20,1490,0.0134228187919463,0.005,2.0,115,6,1,0.0,"[5179,14949,22510]",3
40,3.038769297299292,31,1490,0.0208053691275167,0.005,2.0,115,7,2,3.0,,0
2325,3.349851306932468,47,1490,0.0315436241610738,0.005,2.0,115,7,2,1.0,,0
3357,2.436216743644156,10,1490,0.0067114093959731,0.005,2.0,115,3,1,0.0,"[22213,22437]",2
937,2.118952903036182,11,1490,0.0073825503355704,0.005,2.0,115,7,1,0.0,"[4330,22395,22439,22465]",4
725,3.181753470717955,22,1490,0.0147651006711409,0.005,2.0,115,8,1,0.0,[1893],1
4392,2.545104607061427,27,1490,0.0181208053691275,0.005,2.0,115,3,2,6.0,,0
3817,3.36611081855052,38,1490,0.0255033557046979,0.005,2.0,115,9,2,1.0,,0
4031,2.8257274042891978,23,1490,0.0154362416107382,0.005,2.0,115,3,2,1.0,,0
143,2.6489167147985424,10,1490,0.0067114093959731,0.005,2.0,115,2,1,0.0,[21955],1
445,3.032347748562842,32,1490,0.021476510067114,0.005,2.0,115,6,2,1.0,,0
581,2.7129048444897497,28,1490,0.0187919463087248,0.005,2.0,115,4,2,1.0,,0
4621,2.649850961167831,24,1490,0.0161073825503355,0.005,2.0,115,10,1,0.0,"[20502,21555,22075,22288,22390,22493]",6
4841,2.7509234630773034,21,1490,0.0140939597315436,0.005,2.0,115,5,1,0.0,"[22266,22513]",2
4893,3.3185084071713398,47,1490,0.0315436241610738,0.005,2.0,115,5,2,2678.0,,0
4973,2.7054218019845657,14,1490,0.0093959731543624,0.005,2.0,115,2,2,1.0,,0
4993,2.9238712482992,21,1490,0.0140939597315436,0.005,2.0,115,6,1,0.0,"[17276,22341,22345]",3
5001,3.770659343507617,2,1490,0.0013422818791946,0.005,2.0,115,1,1,0.0,[22391],1
5017,3.013389154705799,25,1490,0.0167785234899328,0.005,2.0,115,7,1,0.0,"[21915,22423,22433,22457,22478]",5
5179,3.4611730842973256,43,1490,0.0288590604026845,0.005,2.0,115,3,2,412.0,,0
5190,2.272223609754846,15,1490,0.0100671140939597,0.005,2.0,115,5,1,0.0,"[20508,22408,22483]",3
5259,3.2328242111296337,24,1490,0.0161073825503355,0.005,2.0,115,13,1,0.0,"[19799,19967,22312,22434,22485]",5
5564,2.318379972619337,12,1490,0.0080536912751677,0.005,2.0,115,8,1,0.0,"[15925,19330,21968,22454,22488]",5
5955,2.251830161687687,13,1490,0.0087248322147651,0.005,2.0,115,5,1,0.0,"[21938,22398]",2
5969,2.722220360731022,12,1490,0.0080536912751677,0.005,2.0,115,7,1,0.0,"[22095,22428,22475,22496,22497]",5
