parent_layer,child_layer,avg_js_distance,js_distance_std,pair_count,total_parent_docs,total_child_docs
0,1,0.6239,0.0403,19,18430,970
1,2,0.5048,0.1325,75,28348,970
2,3,0.4685,0.1342,187,22261,970
