gamma,experiment_type,layer,avg_js_distance_mean,avg_js_distance_std,run_count,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,entropy_run_count,avg_node_count,node_count_std,avg_total_documents,included_runs
0.1,single,0.0,0.0,0.0,3,4.8972,0.0389,3,1.0,0.0,970.0,"1, 2, 3"
0.1,single,1.0,0.47,0.0183,3,5.0821,0.0651,3,42.6667,2.5166,970.0,"1, 2, 3"
0.1,single,2.0,0.4913,0.0041,3,5.0317,0.0376,3,183.3333,6.1101,970.0,"1, 2, 3"
