parent_layer,child_layer,pair_count,avg_js_distance,std_js_distance,child_weighted_avg_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,64,0.6598461025160258,0.01619957547534792,0.6507637270673089,62080,970,1.0,0.05
1,2,242,0.6084046649242175,0.06117252773379069,0.6471856265551501,18138,970,1.0,0.05
