parent_layer,child_layer,pair_count,simple_avg_js_distance,std_js_distance,median_js_distance,min_js_distance,max_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,64,0.6598461025160258,0.01619957547534792,0.6647319517090275,0.6175153724860735,0.6869387188960725,62080,970,1.0,0.05
1,2,242,0.6084046649242175,0.06117252773379069,0.6168188522387287,0.3697763680338185,0.7385735281521485,18138,970,1.0,0.05
