parent_layer,child_layer,pair_count,simple_avg_js_distance,std_js_distance,median_js_distance,min_js_distance,max_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,61,0.6603448956248874,0.01646475996678547,0.6606386345441788,0.5961750802865117,0.6921496594570492,59170,970,1.0,0.05
1,2,267,0.6119584433232139,0.07201764332942925,0.6144362207369597,0.3608806299119888,0.7381125886997376,32947,970,1.0,0.05
