parent_layer,child_layer,pair_count,avg_js_distance,std_js_distance,child_weighted_avg_js_distance,total_parent_docs,total_child_docs,alpha,eta_used
0,1,61,0.6603448956248874,0.01646475996678547,0.6371781234733975,59170,970,1.0,0.05
1,2,267,0.6119584433232139,0.07201764332942925,0.6425020782577934,32947,970,1.0,0.05
