parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,1,0.5961750802865117,970,398,1.0,0.05
0,1,0,582,0.6599700968130213,970,18,1.0,0.05
0,1,0,123,0.6543062036097015,970,13,1.0,0.05
0,1,0,5,0.6823921471204166,970,20,1.0,0.05
0,1,0,1650,0.6616788630115322,970,15,1.0,0.05
0,1,0,2741,0.6522266869247026,970,24,1.0,0.05
0,1,0,2835,0.6782713243182749,970,21,1.0,0.05
0,1,0,125,0.6698322631814225,970,16,1.0,0.05
0,1,0,41,0.6681299369610582,970,14,1.0,0.05
0,1,0,2380,0.638366178231365,970,7,1.0,0.05
0,1,0,4765,0.6751301731759334,970,11,1.0,0.05
0,1,0,4972,0.6668067105575409,970,10,1.0,0.05
0,1,0,165,0.6611549719990263,970,18,1.0,0.05
0,1,0,34,0.6773135690864533,970,18,1.0,0.05
0,1,0,7160,0.6645509583896655,970,9,1.0,0.05
0,1,0,5571,0.6648433109731261,970,12,1.0,0.05
0,1,0,10284,0.6620279182576569,970,11,1.0,0.05
0,1,0,81,0.6583113203022739,970,7,1.0,0.05
0,1,0,931,0.6905015613958675,970,25,1.0,0.05
0,1,0,1265,0.6473677759568073,970,6,1.0,0.05
0,1,0,1784,0.6548539580140397,970,7,1.0,0.05
0,1,0,4784,0.6788761853215197,970,8,1.0,0.05
0,1,0,624,0.6745245588822223,970,5,1.0,0.05
0,1,0,13,0.6477888105945246,970,13,1.0,0.05
0,1,0,9249,0.6338834906105734,970,8,1.0,0.05
0,1,0,209,0.6753451722872608,970,11,1.0,0.05
0,1,0,9349,0.6738288106520636,970,11,1.0,0.05
0,1,0,7013,0.653138411111219,970,12,1.0,0.05
0,1,0,15643,0.6592529238493224,970,8,1.0,0.05
0,1,0,3232,0.6321716381371583,970,6,1.0,0.05
0,1,0,79,0.6840724394017583,970,21,1.0,0.05
0,1,0,16189,0.6563704372421938,970,7,1.0,0.05
0,1,0,736,0.6810652628373027,970,15,1.0,0.05
0,1,0,19757,0.6540268497217752,970,6,1.0,0.05
0,1,0,20412,0.6538128040108475,970,5,1.0,0.05
0,1,0,2231,0.6662484413382519,970,10,1.0,0.05
0,1,0,8506,0.6693366319218365,970,10,1.0,0.05
0,1,0,3776,0.6722153111485387,970,10,1.0,0.05
0,1,0,8087,0.6561775056303069,970,7,1.0,0.05
0,1,0,422,0.6753253989376529,970,9,1.0,0.05
0,1,0,204,0.6708032734916867,970,4,1.0,0.05
0,1,0,4214,0.6676022171023694,970,12,1.0,0.05
0,1,0,17877,0.6530093332896426,970,4,1.0,0.05
0,1,0,19056,0.6438280602634568,970,5,1.0,0.05
0,1,0,572,0.662060698897505,970,12,1.0,0.05
0,1,0,21693,0.6536561993790619,970,8,1.0,0.05
0,1,0,17657,0.6621674920749941,970,4,1.0,0.05
0,1,0,1353,0.6921496594570492,970,9,1.0,0.05
0,1,0,8871,0.6594857904358549,970,5,1.0,0.05
0,1,0,11797,0.6606386345441788,970,3,1.0,0.05
0,1,0,11906,0.655287567156032,970,6,1.0,0.05
0,1,0,18308,0.65644978400051,970,6,1.0,0.05
0,1,0,10121,0.6755358431288594,970,9,1.0,0.05
0,1,0,18491,0.658243012357384,970,4,1.0,0.05
0,1,0,22632,0.6522091751296217,970,3,1.0,0.05
0,1,0,1788,0.662934156839223,970,4,1.0,0.05
0,1,0,16202,0.6322672103330239,970,3,1.0,0.05
0,1,0,7740,0.6592436949110905,970,3,1.0,0.05
0,1,0,18429,0.6507538692224021,970,1,1.0,0.05
0,1,0,22838,0.6534125043774972,970,1,1.0,0.05
0,1,0,22848,0.617628364523958,970,2,1.0,0.05
1,2,1,2,0.7239993295755189,398,45,1.0,0.05
1,2,1,23,0.7030525919026369,398,10,1.0,0.05
1,2,1,117,0.6873514015463312,398,7,1.0,0.05
1,2,1,200,0.6913258622391416,398,5,1.0,0.05
1,2,1,361,0.7032991042545639,398,8,1.0,0.05
1,2,1,455,0.6949642957175239,398,4,1.0,0.05
1,2,1,593,0.7381125886997376,398,16,1.0,0.05
1,2,1,717,0.6921813040126477,398,5,1.0,0.05
1,2,1,801,0.7140441972976507,398,9,1.0,0.05
1,2,1,1412,0.7123281341089938,398,7,1.0,0.05
1,2,1,1503,0.7374575246625769,398,7,1.0,0.05
1,2,1,2550,0.7139795964986976,398,5,1.0,0.05
1,2,1,2863,0.7026016941901008,398,4,1.0,0.05
1,2,1,2904,0.7069347937352949,398,5,1.0,0.05
1,2,1,3091,0.7029696866280157,398,4,1.0,0.05
1,2,1,4008,0.6889717102773467,398,4,1.0,0.05
1,2,1,4114,0.7119610417900787,398,7,1.0,0.05
1,2,1,5847,0.7240656021588769,398,7,1.0,0.05
1,2,1,5970,0.674107240584346,398,3,1.0,0.05
1,2,1,7387,0.7212989364703424,398,9,1.0,0.05
1,2,1,7401,0.6928919828647636,398,5,1.0,0.05
1,2,1,7786,0.719340955030602,398,10,1.0,0.05
1,2,1,8181,0.6891346106947983,398,4,1.0,0.05
1,2,1,8699,0.6943163606342421,398,4,1.0,0.05
1,2,1,9472,0.6744847136006077,398,6,1.0,0.05
1,2,1,9790,0.6703427053214904,398,6,1.0,0.05
1,2,1,9907,0.7151677510767837,398,8,1.0,0.05
1,2,1,10777,0.7018538363487324,398,4,1.0,0.05
1,2,1,12334,0.6752660220925655,398,5,1.0,0.05
1,2,1,14437,0.6799188475536879,398,8,1.0,0.05
1,2,1,15613,0.7040857038639852,398,5,1.0,0.05
1,2,1,16104,0.7106977848930829,398,6,1.0,0.05
1,2,1,16272,0.6987750616885613,398,4,1.0,0.05
1,2,1,16555,0.688041110802584,398,11,1.0,0.05
1,2,1,18213,0.6941488800926665,398,2,1.0,0.05
1,2,1,18669,0.6911156727120207,398,4,1.0,0.05
1,2,1,18975,0.6944531992835338,398,3,1.0,0.05
1,2,1,19034,0.710128535671596,398,8,1.0,0.05
1,2,1,19880,0.7009871552700851,398,4,1.0,0.05
1,2,1,20673,0.6951533915221642,398,9,1.0,0.05
1,2,1,20876,0.6816617687319616,398,4,1.0,0.05
1,2,1,20956,0.6965726866641999,398,3,1.0,0.05
1,2,1,21071,0.6750108956342177,398,5,1.0,0.05
1,2,1,21166,0.678930581364056,398,4,1.0,0.05
1,2,1,21296,0.6807775282285297,398,4,1.0,0.05
1,2,1,21313,0.7086717476529772,398,6,1.0,0.05
1,2,1,21348,0.6990786903765471,398,4,1.0,0.05
1,2,1,21460,0.6847321176254101,398,4,1.0,0.05
1,2,1,21546,0.6793050926279642,398,3,1.0,0.05
1,2,1,21804,0.6787375576226878,398,2,1.0,0.05
1,2,1,21823,0.6669407866471017,398,1,1.0,0.05
1,2,1,21872,0.6739767508437192,398,3,1.0,0.05
1,2,1,21973,0.6859244336965441,398,4,1.0,0.05
