layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,5.280754655107532,0.01
1,81,3240,3240,2267.0306304814635,0.699700811876995,970,3.701770109668732,0.01
2,351,61425,61425,43246.43732701116,0.7040527037364455,970,3.316620122759987,0.01
