alpha,parent_layer,child_layer,avg_js_distance_mean,avg_js_distance_std,avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,pair_count_mean,eta_used_first,run_id_<lambda>
0.1,0.0,1.0,0.6461,0.0031,3,0.633,0.0134,58.6667,0.05,"1, 2, 3"
0.1,1.0,2.0,0.5995,0.0008,3,0.6308,0.0024,252.3333,0.05,"1, 2, 3"
