alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,std_js_distance_mean,median_js_distance_mean,min_js_distance_min,max_js_distance_max,pair_count_mean,eta_used_first,run_id_<lambda>
0.1,0.0,1.0,0.6461,0.0031,3,0.0219,0.6468,0.5342,0.695,58.6667,0.05,"1, 2, 3"
0.1,1.0,2.0,0.5995,0.0008,3,0.0751,0.6033,0.2816,0.74,252.3333,0.05,"1, 2, 3"
