rhat_len_docs,mean_jaccard,mean_ratio,rhat_threshold,converged,iteration,timestamp
1.6532502849881818,"[0.9239120450346237, 0.9249032806302955, 0.9264126015884575]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,70.0,1754900022.8484302
1.8120500252391383,"[0.9216537274511701, 0.9235865014509654, 0.9292832307070057]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,71.1,1754900880.7275891
2.2638972864261984,"[0.9237433791328987, 0.9330413691079562, 0.9306014766983349]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,72.2,1754901763.671142
2.0768832183107864,"[0.9352125981631605, 0.9365120472453817, 0.9364640271785527]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,73.3,1754902676.6216393
1.5423238056088202,"[0.9381056965115555, 0.9414171503938095, 0.9305543713984685]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,74.4,1754903604.6739194
1.222114970034888,"[0.935843730102736, 0.946393555537435, 0.9343160556902183]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,75.5,1754904522.7163718
1.6496358234436117,"[0.9373936405171281, 0.9368815948206475, 0.9408035683114155]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,76.6,1754905445.8097136
2.541792250189274,"[0.9305608813591627, 0.9442806396287059, 0.9340677972921736]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,77.7,1754906388.9385524
2.0327320111607543,"[0.9330014941012823, 0.9404721981781228, 0.9408945381511369]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,78.8,1754907322.0916622
1.1450427249689932,"[0.9346032826692927, 0.9405151071468781, 0.9339383822081146]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,79.9,1754908265.2539377
1.9089501384298795,"[0.9357777524115223, 0.944718315542491, 0.9344901412159607]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,False,81.0,1754909203.4267037
1.085050721270861,"[0.9395345916421389, 0.9398281410740944, 0.9381164406043757]","[0.20000000000000004, 0.20000000000000004, 0.20000000000000004]",,True,82.1,1754910146.6512284
