Converged,Yes,,,,,,,
Unweighted_NPMI,(全部),,,,,,,
,,,,,,,,
K,Alpha,Eta,平均值项:Weighted_NPMI,平均值项:Weighted_Cv,平均值项:Unweighted_NPMI,平均值项:Perplexity,平均值项:JSD_Diversity,平均值项:Weighted_Renyi_Entropy
,,0.01,0.041750768,0.50636709,0.053348144,1094.379589,0.967027736,3.339319546
,,0.1,0.048231798,0.529336661,0.050948084,1215.769427,0.955322846,4.163781756
,,0.5,0.047063214,0.543883521,-0.145591468,1184.929885,0.893248633,5.057435077
,,1,0.030432134,0.523182544,-0.366369607,1186.948473,0.557490656,5.398047458
,,2,0.00808457,0.498932559,-0.440701695,1031.295849,0.371898241,5.685366099
,5,,0.0292783,0.508265306,-0.180115192,1128.362773,0.796884775,4.78322327
,,0.01,0.043290232,0.502284007,0.054805848,1099.328817,0.965704543,3.341960939
,,0.1,0.047157384,0.528254889,0.043886883,1235.674251,0.954795037,4.14975521
,,0.5,0.046832612,0.542285355,-0.199279524,1198.601767,0.843627477,5.067508732
,,1,0.015645513,0.475950692,-0.371013123,1134.13509,0.571711879,5.527932793
,,2,-0.00653424,0.492551589,-0.428976045,974.0739385,0.648584937,5.828958676
,10,,0.000965944,0.493292161,-0.186888283,1111.690945,0.803242406,4.822460221
,,0.01,0.038784497,0.505088027,0.048941729,1085.8183,0.968065196,3.325086277
,,0.1,0.046062985,0.524694329,0.041083275,1240.673349,0.956515874,4.159305782
,,0.5,0.029321184,0.524727139,-0.227026042,1204.967107,0.850765086,5.137842679
,,1,0.012877587,0.483372964,-0.350263295,1148.120532,0.616171395,5.518104361
,,2,-0.114163156,0.432881503,-0.487879635,904.8165873,0.596784811,6.174167327
,20,,-0.000112233,0.487178426,-0.214473245,1133.099253,0.795548545,4.882492706
,,0.01,0.038843549,0.498401952,0.048108387,1113.341459,0.966867671,3.311600334
,,0.1,0.049906053,0.522675048,0.04641046,1240.48326,0.956753819,4.140692794
,,0.5,0.024191136,0.512726189,-0.232004894,1213.332676,0.861009645,5.157707815
,,1,-0.13556514,0.439827057,-0.437923397,1263.954712,0.61143202,6.051768984
,,2,0.004976311,0.459890935,-0.489470071,882.0320489,0.577097321,5.836188875
80,,,0.017989365,0.505416852,-0.222124078,1136.733649,0.696650811,4.776767014
,0.05,,0.036923193,0.518074191,-0.214811253,1146.803131,0.674504147,4.731274247
,,0.01,0.032138789,0.497537277,0.038060612,1104.170564,0.971671461,3.189333272
,,0.1,0.046237615,0.517222138,0.037730314,1229.478047,0.961672746,4.157990546
,,0.5,0.047956921,0.540361807,-0.221990572,1182.001052,0.806346117,5.105383428
,,1,0.037195911,0.529644406,-0.396346354,1177.155601,0.462969765,5.409201721
,,2,0.022949612,0.505434915,-0.481001953,1057.745375,0.227294366,5.679805526
,0.1,,0.035349887,0.518403377,-0.200162926,1149.453581,0.690046581,4.68009557
,,0.01,0.038095939,0.503990281,0.04583223,1099.961942,0.972645364,3.18380939
,,0.1,0.043837057,0.529089162,0.029718538,1226.612858,0.962469367,4.149864204
,,0.5,0.045745653,0.539689087,-0.201747502,1186.512115,0.835421338,5.099666954
,,1,0.03484446,0.531386823,-0.3912305,1189.472318,0.481212672,5.389952552
,,2,0.016305478,0.492118674,-0.483704314,1052.120379,0.227559113,5.661099028
,0.5,,0.033544006,0.521423487,-0.225167168,1146.05314,0.673265266,4.748234242
,,0.01,0.037493966,0.494610422,0.041735955,1131.926963,0.971311189,3.185752599
,,0.1,0.047646784,0.539758327,0.030720614,1235.01549,0.963924014,4.13517965
,,0.5,0.044735203,0.542977188,-0.225059997,1187.431265,0.809909652,5.080173891
,,1,0.027909602,0.518567734,-0.404586935,1182.091932,0.450498946,5.405690137
,,2,0.015575585,0.5185377,-0.466290364,1029.384991,0.286946029,5.689153097
