K,Alpha,Eta,Run_Index,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
160,0.1,0.01,5,-7.119212168,0.019263373,0.486918226,0.004793385,0.500081179,1235.476702,2.842250932,0.978815003,1390,Yes,24.35473967
180,0.1,0.01,1,-7.124644871,0.024468314,0.501292109,0.00218906,0.509612565,1242.206945,2.847737682,0.979274585,1240,Yes,24.54748535
180,0.1,0.01,2,-7.055697733,0.008944068,0.48905083,-0.01261879,0.49754942,1159.446173,2.846971261,0.980365543,2920,Yes,48.23765206
180,0.1,0.01,3,-7.09983512,0.013454934,0.489579422,-0.004451026,0.50271135,1211.767261,2.816336105,0.980599509,1220,Yes,24.74340987
180,0.1,0.01,4,-7.107196768,0.022248836,0.489204342,0.000386369,0.502999534,1220.720782,2.809083319,0.980295687,1380,Yes,26.72849321
180,0.1,0.01,5,-7.061562152,0.013737312,0.485569184,-0.00563103,0.505800065,1166.265628,2.860957526,0.980651799,2060,Yes,36.27736354
200,0.1,0.01,1,-7.09791723,0.012042167,0.48521152,-0.012999918,0.495884601,1209.445453,2.832975526,0.981598031,3000,No,53.6799283
200,0.1,0.01,2,-7.090949391,0.014398756,0.49087302,-0.012208014,0.493024967,1201.047524,2.838020247,0.981389423,3000,No,53.80282044
200,0.1,0.01,3,-7.126428859,0.009462634,0.493017273,-0.020922021,0.490408531,1244.425005,2.778207733,0.98202441,1110,Yes,25.33980107
200,0.1,0.01,4,-7.118163449,0.013364896,0.490412475,-0.017582311,0.485551528,1234.181713,2.812309052,0.981629715,2450,Yes,45.31393266
200,0.1,0.01,5,-7.109965763,0.016728266,0.494503656,-0.004855795,0.503939564,1224.105635,2.787250575,0.98081081,2160,Yes,40.74786592
