layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution,alpha
0,1,36,36.0,0.0,1,36.0,970,0.0,0.0,0.5
1,36,255,7.083333333333333,19.053105608622797,36,7.083333333333333,970,0.7325315005727376,0.6027233115468409,0.5
2,255,0,0.0,0.0,0,0.0,970,0.3827046694966646,0.0,0.5
