record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[621, 626, 629, 623, 629, 638, 627, 623, 617, 615, 619, 626, 617, 618, 615, 603, 599, 597, 605, 609, 620]",0.9212500774235247,0.01546144715148379,0.20000000000000004,2.7755575615628914e-17,"[0.9363354037267081, 0.9427244582043344, 0.9261538461538461, 0.9261538461538461, 0.925531914893617, 0.9372128637059725, 0.9440124416796267, 0.9106317411402157, 0.9190031152647975, 0.9221183800623053, 0.9183359013867488, 0.9123076923076923, 0.9266770670826833, 0.8824427480916031, 0.9090909090909091, 0.932475884244373, 0.9136, 0.8958990536277602, 0.9058084772370487, 0.9384858044164038]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[620, 605, 605, 597, 591, 589, 594, 612, 621, 635, 629, 627, 642, 639, 648, 652, 651, 642, 647, 658, 641]",0.9236954738209588,0.010486808381773391,0.20000000000000004,2.7755575615628914e-17,"[0.9230769230769231, 0.9206349206349206, 0.9140127388535032, 0.9317073170731708, 0.9032258064516129, 0.9049919484702094, 0.9203821656050956, 0.9295774647887324, 0.9293394777265745, 0.9151515151515152, 0.9293394777265745, 0.9285714285714286, 0.9292168674698795, 0.9094955489614244, 0.9202363367799113, 0.9447761194029851, 0.9356287425149701, 0.9181547619047619, 0.9304733727810651, 0.9359165424739195]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[641, 633, 640, 640, 635, 631, 634, 631, 638, 648, 656, 652, 658, 645, 647, 639, 633, 633, 635, 630, 628]",0.9268725916761144,0.008383115683623184,0.20000000000000004,2.7755575615628914e-17,"[0.9332321699544764, 0.9317147192716236, 0.9190404797601199, 0.9376899696048632, 0.9181818181818182, 0.9051204819277109, 0.9312977099236641, 0.9227272727272727, 0.9309309309309309, 0.9318518518518518, 0.9377777777777778, 0.9236417033773862, 0.9389880952380952, 0.9197622585438335, 0.9309309309309309, 0.9156626506024096, 0.9240121580547113, 0.9299847792998478, 0.9224924012158054, 0.9324116743471582]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[628, 636, 639, 644, 639, 638, 629, 630, 627, 628, 638, 638, 648, 648, 633, 632, 644, 648, 655, 657, 654]",0.9285485707474253,0.008295298202928772,0.20000000000000004,2.7755575615628914e-17,"[0.9327217125382263, 0.9259818731117825, 0.9206586826347305, 0.9206586826347305, 0.9407294832826748, 0.9314024390243902, 0.9221374045801527, 0.9161585365853658, 0.918960244648318, 0.9357798165137615, 0.9421613394216134, 0.9338345864661655, 0.9401197604790419, 0.9147982062780269, 0.9254185692541856, 0.9304084720121029, 0.9312406576980568, 0.9275147928994083, 0.9209370424597365, 0.9393491124260355]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[654, 648, 645, 642, 640, 638, 643, 658, 666, 655, 650, 652, 640, 649, 657, 654, 652, 655, 656, 656, 650]",0.9358781028385883,0.008959299794309332,0.20000000000000004,2.7755575615628914e-17,"[0.940387481371088, 0.9356287425149701, 0.9324324324324325, 0.9365558912386707, 0.9363636363636364, 0.9321266968325792, 0.9188790560471977, 0.9528023598820059, 0.9312865497076024, 0.9304733727810651, 0.9491017964071856, 0.9341317365269461, 0.9325337331334332, 0.9234167893961709, 0.9508928571428571, 0.9262536873156342, 0.9277286135693216, 0.9364844903988183, 0.9408284023668639, 0.9492537313432836]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,"[650, 658, 664, 674, 679, 667, 665, 659, 666, 661, 668, 660, 649, 654, 641, 653, 652, 652, 651, 645, 648]",0.9359058385230737,0.00877317401379792,0.20000000000000004,2.7755575615628914e-17,"[0.9464285714285714, 0.9384164222873901, 0.9447674418604651, 0.9383954154727794, 0.9256080114449213, 0.9416909620991254, 0.9528023598820059, 0.9428152492668622, 0.9400584795321637, 0.9205202312138728, 0.9330422125181951, 0.9421364985163204, 0.9389880952380952, 0.9213649851632048, 0.9313432835820895, 0.9362017804154302, 0.937592867756315, 0.9389880952380952, 0.9228486646884273, 0.9241071428571429]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,"[648, 657, 660, 656, 659, 671, 673, 676, 672, 664, 674, 654, 646, 644, 644, 649, 646, 643, 652, 656, 664]",0.9315269249066416,0.009889139517660175,0.20000000000000004,2.7755575615628914e-17,"[0.9362017804154302, 0.9453471196454948, 0.9267935578330894, 0.9197080291970803, 0.9472913616398243, 0.9338129496402877, 0.9410071942446043, 0.9367816091954023, 0.9418604651162791, 0.9307359307359307, 0.9246376811594202, 0.9230769230769231, 0.9311377245508982, 0.9138187221396731, 0.9241071428571429, 0.9270833333333334, 0.9210134128166915, 0.9185185185185185, 0.9464285714285714, 0.9411764705882353]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
7,"[664, 674, 658, 658, 661, 665, 663, 663, 662, 673, 664, 672, 666, 659, 656, 664, 682, 675, 672, 659, 643]",0.9333265250502973,0.014468990683737883,0.20000000000000004,2.7755575615628914e-17,"[0.9363241678726484, 0.9083094555873925, 0.9296187683284457, 0.9511834319526628, 0.9385964912280702, 0.9330422125181951, 0.9161849710982659, 0.9314868804664723, 0.948905109489051, 0.9461426491994177, 0.936231884057971, 0.9005681818181818, 0.9230769230769231, 0.9539375928677564, 0.9469026548672567, 0.914651493598862, 0.9413447782546495, 0.9493487698986975, 0.9317851959361393, 0.9288888888888889]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,"[643, 638, 623, 620, 626, 618, 628, 639, 654, 646, 660, 660, 659, 675, 663, 658, 659, 645, 653, 660, 673]",0.9288042997500714,0.013332758933854653,0.20000000000000004,2.7755575615628914e-17,"[0.9147982062780269, 0.9340490797546013, 0.9211746522411128, 0.899390243902439, 0.9138461538461539, 0.9258114374034003, 0.9138972809667674, 0.9127218934911243, 0.9259259259259259, 0.9405646359583952, 0.9354838709677419, 0.948301329394387, 0.9417758369723436, 0.9224137931034483, 0.9312865497076024, 0.9282576866764275, 0.9550224887556222, 0.9344262295081968, 0.9394387001477105, 0.9375]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
9,"[673, 680, 665, 662, 661, 666, 672, 671, 678, 671, 667, 672, 665, 674, 676, 668, 675, 685, 676, 673, 663]",0.9410469182569127,0.009391064516360854,0.20000000000000004,2.7755575615628914e-17,"[0.9411764705882353, 0.935251798561151, 0.9457478005865103, 0.9285714285714286, 0.9315866084425036, 0.9251798561151079, 0.937950937950938, 0.9382183908045977, 0.9410071942446043, 0.941944847605225, 0.9405797101449276, 0.934876989869754, 0.9405797101449276, 0.9508670520231214, 0.9591836734693877, 0.9492017416545718, 0.9484240687679083, 0.9277620396600567, 0.9410071942446043, 0.9618208516886931]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
