layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.960619169342996,0.05,0.5
1,36,630,630,383.92759176256567,0.6094088758135963,970,4.504439670887791,0.05,0.5
2,255,32385,32385,18465.355135036298,0.5701823416716473,970,4.519955194438745,0.05,0.5
