layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,5.062161248685741,0.05,0.05
1,62,1891,1891,1021.8575552044935,0.5403794580668924,970,4.9330016267110635,0.05,0.05
2,212,22366,22366,12513.274351205915,0.5594775262096895,970,4.82499812714787,0.05,0.05
