depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.05,0.1,0,0,,4.919872033806504,969,1428,40929,
3,0.05,0.05,0.1,1,9514,,3.492475805973626,10,184,89,
3,0.05,0.05,0.1,1,4455,,3.2470467018348965,15,292,60,
3,0.05,0.05,0.1,1,1,,4.4295539819153,370,1306,5182,
3,0.05,0.05,0.1,1,17033,,3.787848620803302,10,248,74,
3,0.05,0.05,0.1,1,6,,3.7785473060452635,21,383,335,
3,0.05,0.05,0.1,1,2357,,3.153753704680212,12,227,143,
3,0.05,0.05,0.1,1,3571,,2.9737533668352154,14,297,30,
3,0.05,0.05,0.1,1,2320,,3.6341319248582997,30,524,323,
3,0.05,0.05,0.1,1,8569,,4.272350186550485,19,502,136,
3,0.05,0.05,0.1,1,7892,,3.6665387248393313,8,260,58,
3,0.05,0.05,0.1,1,14504,,3.0710300138433007,11,280,58,
3,0.05,0.05,0.1,1,6545,,3.1645401111812212,13,232,84,
3,0.05,0.05,0.1,1,4653,,3.7733396178941963,11,287,110,
3,0.05,0.05,0.1,1,4939,,3.557303096325218,6,238,160,
3,0.05,0.05,0.1,1,3,,4.029347693224565,24,551,383,
3,0.05,0.05,0.1,1,2917,,3.1823428648891716,11,270,107,
3,0.05,0.05,0.1,1,137,,3.959193979339548,22,397,173,
3,0.05,0.05,0.1,1,5794,,3.4691139487343237,7,157,71,
3,0.05,0.05,0.1,1,12641,,3.272612977447046,11,296,121,
3,0.05,0.05,0.1,1,17189,,3.351913024253114,10,286,85,
3,0.05,0.05,0.1,1,937,,3.6925593110723374,15,352,132,
3,0.05,0.05,0.1,1,10126,,3.5623477117103945,7,194,103,
3,0.05,0.05,0.1,1,5394,,3.522015210710547,9,287,166,
3,0.05,0.05,0.1,1,10455,,3.6435554979209903,16,324,85,
3,0.05,0.05,0.1,1,606,,4.005797394332315,11,300,173,
3,0.05,0.05,0.1,1,18835,,3.861793603805995,4,212,92,
3,0.05,0.05,0.1,1,3523,,3.6799271145277603,13,232,162,
3,0.05,0.05,0.1,1,11017,,3.4702502663520303,9,296,207,
3,0.05,0.05,0.1,1,953,,3.532769023904428,17,349,141,
3,0.05,0.05,0.1,1,2386,,3.6693690278901765,8,235,119,
3,0.05,0.05,0.1,1,18133,,2.9185426348628605,7,240,36,
3,0.05,0.05,0.1,1,18492,,3.2459044972561206,7,215,75,
3,0.05,0.05,0.1,1,983,,3.79860939082473,17,324,145,
3,0.05,0.05,0.1,1,5253,,3.8496426914471282,14,336,199,
3,0.05,0.05,0.1,1,4978,,4.124295559781937,7,194,101,
3,0.05,0.05,0.1,1,16816,,3.6437322447133296,15,330,169,
3,0.05,0.05,0.1,1,6077,,3.2983399962224493,10,237,120,
3,0.05,0.05,0.1,1,2088,,3.214502640055978,6,146,37,
3,0.05,0.05,0.1,1,9295,,3.4854691603202905,7,169,93,
3,0.05,0.05,0.1,1,412,,3.7983225338454734,8,230,94,
3,0.05,0.05,0.1,1,9599,,3.3612176636616855,7,215,83,
3,0.05,0.05,0.1,1,6499,,3.751447531264208,8,256,104,
3,0.05,0.05,0.1,1,18968,,3.7336540229500152,7,294,65,
3,0.05,0.05,0.1,1,14657,,3.7544590997599188,13,436,124,
3,0.05,0.05,0.1,1,19031,,3.2677129032549943,7,215,73,
3,0.05,0.05,0.1,1,725,,3.2230462211419266,9,150,58,
3,0.05,0.05,0.1,1,143,,3.6411636153739613,10,213,99,
3,0.05,0.05,0.1,1,5756,,3.432834466605337,17,373,102,
3,0.05,0.05,0.1,1,4964,,3.025084485566519,10,259,44,
3,0.05,0.05,0.1,1,19110,,3.0704558197499274,2,72,25,
3,0.05,0.05,0.1,1,19045,,3.0196855145764836,3,132,52,
3,0.05,0.05,0.1,1,17295,,2.230841188135204,2,81,11,
3,0.05,0.05,0.1,1,16961,,3.520533851175955,4,222,74,
3,0.05,0.05,0.1,1,2190,,3.00805275794203,8,218,70,
3,0.05,0.05,0.1,1,13483,,3.29084932449329,8,184,60,
3,0.05,0.05,0.1,1,5947,,2.9177707320842785,5,152,74,
3,0.05,0.05,0.1,1,18332,,3.138048495734246,5,150,28,
3,0.05,0.05,0.1,1,2678,,2.9898325514268023,2,94,26,
3,0.05,0.05,0.1,1,18438,,0.0,1,18,0,
3,0.05,0.05,0.1,2,18337,,3.920707651442408,7,230,214,
3,0.05,0.05,0.1,2,5480,,3.250424991877084,3,140,178,
3,0.05,0.05,0.1,2,19093,,3.609850486817912,4,198,106,
3,0.05,0.05,0.1,2,18902,,3.4982795282016625,4,177,181,
3,0.05,0.05,0.1,2,17915,,3.0196855145764836,2,88,52,
3,0.05,0.05,0.1,2,18298,,3.4692021107762128,4,152,85,
3,0.05,0.05,0.1,2,16245,,3.5807526849632207,5,199,114,
3,0.05,0.05,0.1,2,19041,,3.3205538929552287,3,154,64,
3,0.05,0.05,0.1,2,2535,,3.7051572912814663,10,317,282,
3,0.05,0.05,0.1,2,18910,,3.6392443384789384,4,179,130,
3,0.05,0.05,0.1,2,18315,,3.098466392429598,1,91,52,
3,0.05,0.05,0.1,2,15404,,3.535109799248423,3,142,150,
3,0.05,0.05,0.1,2,16055,,3.831980297754609,3,193,120,
3,0.05,0.05,0.1,2,9360,,3.80429842247544,8,284,195,
3,0.05,0.05,0.1,2,17760,,3.7410428319153137,3,141,113,
3,0.05,0.05,0.1,2,19044,,3.558260620641089,7,193,123,
3,0.05,0.05,0.1,2,18249,,3.2716861752271282,4,164,97,
3,0.05,0.05,0.1,2,19028,,3.3245007683718186,7,236,82,
3,0.05,0.05,0.1,2,18962,,2.521582128346407,2,101,19,
3,0.05,0.05,0.1,2,8543,,3.9146556401541783,13,393,324,
3,0.05,0.05,0.1,2,17962,,3.676127256490012,3,176,93,
3,0.05,0.05,0.1,2,2918,,3.9785798810664432,9,289,266,
3,0.05,0.05,0.1,2,19114,,3.8025159738084726,3,144,114,
3,0.05,0.05,0.1,2,18751,,2.2129729343043585,2,69,16,
3,0.05,0.05,0.1,2,19047,,3.4961423980517954,3,137,74,
3,0.05,0.05,0.1,2,18792,,3.5491175117387774,2,137,80,
3,0.05,0.05,0.1,2,15567,,3.5656018991399128,6,202,176,
3,0.05,0.05,0.1,2,18721,,3.1986731175506824,4,142,56,
3,0.05,0.05,0.1,2,3817,,3.9522763401235466,9,298,292,
3,0.05,0.05,0.1,2,11286,,3.9288099703774004,10,362,290,
3,0.05,0.05,0.1,2,4330,,3.556398068148428,5,178,231,
3,0.05,0.05,0.1,2,19060,,2.7642997464208263,1,60,29,
3,0.05,0.05,0.1,2,18488,,2.6023434849908664,5,185,76,
3,0.05,0.05,0.1,2,18530,,3.4451595593758606,3,154,109,
3,0.05,0.05,0.1,2,13530,,4.034909708541255,4,178,116,
3,0.05,0.05,0.1,2,406,,3.3496888900455155,10,296,264,
3,0.05,0.05,0.1,2,1046,,3.9789103755168944,4,172,163,
3,0.05,0.05,0.1,2,18644,,3.794897648190731,5,206,130,
