layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,4.923174237088757,0.05
1,59,1711,1711,967.0812214242558,0.5652140394063447,970,4.550073024201657,0.05
2,262,34191,34191,19564.48073496533,0.5722114221568638,970,4.454780980901818,0.05
