layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,4.857966067330138,0.2
1,31,465,465,175.6609942199354,0.377765578967603,970,5.4821177855314485,0.2
2,125,7750,7750,3134.5627573319903,0.4044597106234826,970,5.421438485198385,0.2
