layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,31,31.0,0.0,1,31.0,970,0.0,0.0
1,31,125,4.032258064516129,4.8558835013377335,31,4.032258064516129,970,0.6687728633189225,0.4149677419354839
2,125,0,0.0,0.0,0,0.0,970,0.5553979381443298,0.0
