record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[610, 608, 611, 618, 612, 605, 599, 597, 596, 606, 612, 615, 615, 611, 598, 603, 599, 611, 618, 625, 620]",0.94291557967079,0.012026285960557263,0.20000000000000004,2.7755575615628914e-17,"[0.9456869009584664, 0.9535256410256411, 0.963258785942492, 0.943127962085308, 0.919558359621451, 0.9294871794871795, 0.954248366013072, 0.9493464052287581, 0.9355877616747182, 0.9333333333333333, 0.9171875, 0.943127962085308, 0.9584664536741214, 0.9437299035369775, 0.9496753246753247, 0.932475884244373, 0.9391025641025641, 0.9415481832543444, 0.9574803149606299, 0.9483568075117371]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[620, 617, 617, 622, 625, 619, 620, 627, 631, 635, 630, 625, 624, 618, 615, 613, 615, 618, 616, 621, 621]",0.9421378693105653,0.01066475617958682,0.20000000000000004,2.7755575615628914e-17,"[0.9388714733542319, 0.9311424100156495, 0.9239130434782609, 0.957613814756672, 0.9316770186335404, 0.945054945054945, 0.9333333333333333, 0.9687010954616588, 0.9506933744221879, 0.9401840490797546, 0.9367283950617284, 0.93343653250774, 0.9467084639498433, 0.9478672985781991, 0.9461172741679873, 0.9277864992150706, 0.944794952681388, 0.9525316455696202, 0.9358372456964006, 0.9497645211930926]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[621, 625, 627, 635, 634, 627, 622, 624, 618, 629, 624, 621, 607, 601, 601, 607, 618, 622, 624, 620, 620]",0.9453632412052425,0.009044371845117534,0.20000000000000004,2.7755575615628914e-17,"[0.9438377535101404, 0.953198127925117, 0.9445300462249615, 0.9643962848297214, 0.9340490797546013, 0.9546165884194053, 0.9258114374034003, 0.9497645211930926, 0.9393468118195957, 0.9486780715396579, 0.9392523364485982, 0.9461172741679873, 0.9483870967741935, 0.932475884244373, 0.9483870967741935, 0.9321766561514195, 0.949685534591195, 0.946875, 0.9498432601880877, 0.9558359621451105]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[620, 619, 629, 629, 622, 619, 619, 637, 642, 636, 636, 644, 630, 629, 615, 611, 602, 610, 615, 622, 621]",0.9428941192595296,0.010528720998977361,0.20000000000000004,2.7755575615628914e-17,"[0.957345971563981, 0.9561128526645768, 0.9473684210526315, 0.9546875, 0.9420970266040689, 0.9465408805031447, 0.9382716049382716, 0.9467275494672754, 0.9246987951807228, 0.9599383667180277, 0.9482496194824962, 0.9332321699544764, 0.9221374045801527, 0.9376947040498442, 0.946031746031746, 0.9346092503987241, 0.9516908212560387, 0.9444444444444444, 0.9388714733542319, 0.9271317829457364]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[621, 618, 616, 608, 610, 617, 628, 633, 638, 627, 625, 609, 605, 605, 602, 629, 633, 632, 628, 624, 621]",0.9434897710318145,0.006527551619951304,0.20000000000000004,2.7755575615628914e-17,"[0.9420062695924765, 0.9556259904912837, 0.9459459459459459, 0.9364069952305246, 0.9538216560509554, 0.9453125, 0.9489953632148377, 0.9345509893455098, 0.9521604938271605, 0.9380804953560371, 0.9311424100156495, 0.9486356340288925, 0.9391025641025641, 0.9467741935483871, 0.9416403785488959, 0.9445300462249615, 0.9342507645259939, 0.9474497681607419, 0.9410852713178295, 0.9422776911076443]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
