layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,41,41.0,0.0,1,41.0,970,0.0,0.0
1,41,173,4.219512195121951,8.769437490990393,41,4.219512195121951,970,0.6696504903193362,0.48921471873678274
2,173,0,0.0,0.0,0,0.0,970,0.4607234372206663,0.0
