layer,node_count,total_documents,avg_documents_per_node,weighted_avg_npmi,weighted_avg_c_v,weighted_avg_u_mass,simple_avg_npmi,simple_avg_c_v,simple_avg_u_mass,std_npmi,std_c_v,std_u_mass,top_k,alpha,eta,gamma,depth
0,1,970,970.0,0.005133950278135126,0.5174253898850809,-0.57009880163444,0.005133950278135126,0.5174253898850809,-0.57009880163444,,,,5,1.0,0.05,0.05,3
1,57,970,17.017543859649123,0.09446103534363356,0.576149944068427,-1.495118654884199,0.06013510772084248,0.5466050379127453,-2.4567486837887142,0.1199319198780228,0.13498734592645525,1.1901327219159827,5,1.0,0.05,0.05,3
2,263,970,3.688212927756654,0.05867415654671529,0.5625068395556583,-2.760658443611581,0.04772313860685932,0.5646174877214164,-2.7205261140582793,0.14492195668433527,0.14637784532506257,1.5299272754309081,5,1.0,0.05,0.05,3
