depth,gamma,eta,alpha,layer,entropy_wavg,distinctiveness_wavg_jsd,nodes_in_layer
3,0.05,0.05,1,0,4.933651613535377,0.0,1
3,0.05,0.05,1,1,4.036553714553155,0.6317976709324481,57
3,0.05,0.05,1,2,3.5707374012388566,0.6550760387868287,263
