layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.937433790419789,0.05,1.0
1,57,1596,1596,951.1073834033618,0.595931944488322,970,4.489264633877881,0.05,1.0
2,263,34453,34453,19559.438263421092,0.5677136465161551,970,4.497611102595758,0.05,1.0
