layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution,alpha
0,1,57,57.0,0.0,1,57.0,970,0.0,0.0,1.0
1,57,263,4.614035087719298,11.424434242147607,57,4.614035087719298,970,0.621776089708808,0.5105730104729505,1.0
2,263,0,0.0,0.0,0,0.0,970,0.3905844537650426,0.0,1.0
