parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,1,0.5313359797623732,970,474,1.0,0.05
0,1,0,312,0.6590415039582261,970,6,1.0,0.05
0,1,0,114,0.6996597156410097,970,17,1.0,0.05
0,1,0,1293,0.6408946426756861,970,6,1.0,0.05
0,1,0,2182,0.6730701353112594,970,20,1.0,0.05
0,1,0,1551,0.6225152855370212,970,4,1.0,0.05
0,1,0,1843,0.6791077035269755,970,19,1.0,0.05
0,1,0,288,0.6845493730987562,970,14,1.0,0.05
0,1,0,4976,0.6597149321455549,970,7,1.0,0.05
0,1,0,6355,0.6638079968110819,970,8,1.0,0.05
0,1,0,6400,0.6570221402313339,970,10,1.0,0.05
0,1,0,6949,0.6641842636268303,970,17,1.0,0.05
0,1,0,6938,0.6436798930600366,970,7,1.0,0.05
0,1,0,3396,0.6815068199120432,970,15,1.0,0.05
0,1,0,8421,0.6784134381491903,970,9,1.0,0.05
0,1,0,7,0.6266427140304883,970,11,1.0,0.05
0,1,0,6554,0.6389976014660003,970,5,1.0,0.05
0,1,0,12418,0.6431242637163347,970,6,1.0,0.05
0,1,0,211,0.669170223715488,970,13,1.0,0.05
0,1,0,314,0.6813473050850849,970,15,1.0,0.05
0,1,0,160,0.671956361820916,970,13,1.0,0.05
0,1,0,6385,0.6663013093198462,970,24,1.0,0.05
0,1,0,9,0.6618435096442933,970,10,1.0,0.05
0,1,0,181,0.6729899874712583,970,7,1.0,0.05
0,1,0,8927,0.6790830466468671,970,14,1.0,0.05
0,1,0,6089,0.6996247890364892,970,13,1.0,0.05
0,1,0,3876,0.673005925853716,970,24,1.0,0.05
0,1,0,7208,0.6534980522759108,970,9,1.0,0.05
0,1,0,17882,0.6257309323519747,970,6,1.0,0.05
0,1,0,5068,0.6748515803996666,970,7,1.0,0.05
0,1,0,19794,0.6417795567787652,970,5,1.0,0.05
0,1,0,10319,0.6570224663254229,970,7,1.0,0.05
0,1,0,206,0.6707739609210656,970,8,1.0,0.05
0,1,0,20935,0.645002768217297,970,5,1.0,0.05
0,1,0,266,0.6674811210008034,970,7,1.0,0.05
0,1,0,5620,0.6525669655458985,970,9,1.0,0.05
0,1,0,8843,0.6645187824421461,970,12,1.0,0.05
0,1,0,6250,0.6611043203273501,970,4,1.0,0.05
0,1,0,14747,0.6620335914439415,970,6,1.0,0.05
0,1,0,21691,0.6522792837268782,970,5,1.0,0.05
0,1,0,21438,0.651694230906643,970,7,1.0,0.05
0,1,0,3284,0.6793886005815092,970,11,1.0,0.05
0,1,0,21822,0.646364910240062,970,5,1.0,0.05
0,1,0,2238,0.6764154988649674,970,7,1.0,0.05
