layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,4.962610327334447,0.05
1,62,1891,1891,1075.3088470120463,0.568645609207851,970,4.588076519857823,0.05
2,252,31626,31626,18143.601396238562,0.5736925756098957,970,4.501871873146261,0.05
