Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.01,0.01,1,4,-6.6713537858941265,0.015980385384829116,0.4861040783534274,-0.09357403103997763,0.4225966231570414,789.4636460976753,5.694133522658012,0.905775849039306,1060,Yes,9.800537824630737
0.1,0.01,0.01,2,4,-6.671463397683786,0.015788901106059496,0.48616933949394203,-0.11022880461505695,0.41094474129717096,789.5501853635701,5.695741414651424,0.8942972260546718,1060,Yes,9.096899509429932
0.1,0.01,0.01,3,5,-6.670682086877783,0.016194123647765842,0.4865506304201564,-0.12028612167260544,0.47428210627364986,788.9335421982178,5.69240089309964,0.9032759938925963,1060,Yes,9.705595254898071
0.1,0.01,0.01,4,5,-6.655771727242173,0.010004177647398471,0.491323095955462,-0.057703587834939764,0.43963774911703607,777.2575224976498,5.746492951595835,0.9491404507383415,1060,Yes,9.85959792137146
0.1,0.01,0.01,5,4,-6.6748418522153585,0.004749747102070261,0.45705382224961527,-0.10049815627783698,0.40620322079799215,792.2221557890333,5.696877371328086,0.9028525740288684,1060,Yes,8.932992935180664
0.1,0.01,0.05,1,4,-6.619392376106028,0.015412316623691824,0.48547249838814577,-0.14021894573277577,0.42052261679705405,749.4895509660871,5.697518201873643,0.8946180942470671,1060,Yes,9.470954179763794
0.1,0.01,0.05,2,4,-6.619200298990428,0.02037743535619655,0.48545584860545177,-0.10252029381513099,0.41186366915612715,749.3456049997712,5.698238056716324,0.8952040174018265,1060,Yes,9.405578374862671
0.1,0.01,0.05,3,4,-6.619848913866377,0.015396757129568119,0.48608752743051525,-0.14189180434686915,0.4331646303360433,749.8317993658053,5.69884739964382,0.8777552136409291,1060,Yes,9.257099866867065
0.1,0.01,0.05,4,4,-6.620951825758261,0.02092873185628462,0.4855676115438956,-0.09951255590694007,0.47660598762407985,750.659253995136,5.697614892287199,0.8840604113076196,1060,Yes,9.482642650604248
0.1,0.01,0.05,5,4,-6.625412136928232,0.004440701774089954,0.4571187549135814,-0.1455272191300512,0.41348132343445787,754.0149059132245,5.700648742853392,0.884393428038045,1060,Yes,9.464227437973022
0.1,0.01,0.1,1,4,-6.601133804884955,0.020162210774080393,0.4852650237874305,-0.13502692901226584,0.4213685642377724,735.9291164244636,5.70326593817846,0.8926086421925291,1060,Yes,9.140281677246094
0.1,0.01,0.1,2,4,-6.601133664656545,0.020229853629836644,0.48600109051957685,0.010255758525493836,0.41517426338441876,735.9290132263009,5.70385234167075,0.8358553256488251,1060,Yes,8.893333673477173
0.1,0.01,0.1,3,4,-6.600455454874847,0.019918065217893594,0.48545245202765647,-0.031939719748678194,0.39999719432102354,735.4300681847245,5.701151855125967,0.8396143406234722,1060,Yes,8.895070552825928
0.1,0.01,0.1,4,4,-6.601439117488716,0.017196443428046385,0.46750330715231614,-0.011812711720308015,0.4291774869809517,736.153839162779,5.703196820756463,0.8340165382624334,1060,Yes,8.852620840072632
0.1,0.01,0.1,5,5,-6.606042605050509,0.014114946361759946,0.46843378033373995,0.031103076930880123,0.41504312990282594,739.5505265103335,5.710415502666782,0.8753906131926582,1060,Yes,9.595407724380493
0.1,0.01,0.5,1,3,-6.573532746002547,0.02133769257074167,0.48600666062125,-0.1899359830798474,0.47778731863606794,715.8944543740112,5.720556219162823,0.8040956672998684,1060,Yes,9.352822065353394
0.1,0.01,0.5,2,2,-6.574001509200644,0.02112680511822918,0.4864148937861773,-0.26427233626941493,0.5199036533419998,716.2301180151782,5.725194416734432,0.7217377924132672,1060,Yes,8.883092641830444
0.1,0.01,0.5,3,3,-6.57315648059558,0.02005001578987383,0.48499746611953126,-0.16353374225716072,0.46014082488515023,715.6251387260493,5.729644705611729,0.8503531708175703,1060,Yes,8.749797105789185
0.1,0.01,0.5,4,3,-6.574861006143229,0.021390500248702118,0.4850698195385532,-0.14081445400181097,0.4474178307300989,716.8459802397357,5.724292013472733,0.8408628007992084,1060,Yes,8.883567333221436
0.1,0.01,0.5,5,3,-6.580566907832939,0.008102903055649952,0.46137954876391224,-0.15313744358393042,0.43898652613148387,720.9479244458175,5.733548821675864,0.851919324425039,1060,Yes,8.711046695709229
0.1,0.01,1.0,1,3,-6.572700794571635,0.018824712326818194,0.4815888267592801,-0.1390338376337657,0.44198627295586623,715.2991126403551,5.751250321394033,0.8547522398637031,1060,Yes,8.537657737731934
0.1,0.01,1.0,2,2,-6.573356362986128,0.021410453875469745,0.4860443233780951,-0.26427233626941493,0.5199036533419998,715.7681938861411,5.746398555491807,0.7261759978337605,1060,Yes,8.534859418869019
0.1,0.01,1.0,3,2,-6.573758709597616,0.021342378173732007,0.4861332602760346,-0.26427233626941493,0.5199036533419997,716.0562387366112,5.753600796741509,0.7217018573369253,1060,Yes,8.911317110061646
0.1,0.01,1.0,4,2,-6.573826630350519,0.021138151068518796,0.4864000709698538,-0.16896909988585587,0.5085183912452096,716.10487546717,5.754414731347208,0.7838720210228319,1060,Yes,9.0990891456604
0.1,0.01,1.0,5,2,-6.579049627187182,0.009366019053723074,0.4632591374000853,-0.27069164307230165,0.5084151449459924,719.8548735556338,5.76352434581695,0.7250361868858417,1060,Yes,8.343101501464844
0.1,0.01,2.0,1,2,-6.584924650200326,0.019161809797999724,0.48279218698101667,-0.17053316453529277,0.5065021405872225,724.0964850863302,5.799669089481898,0.78586782984359,1060,Yes,9.161702156066895
0.1,0.01,2.0,2,2,-6.585010808580698,0.013183498954844672,0.47848376485336835,-0.17452890589914918,0.5036760656421779,724.1588747543764,5.799402640765069,0.7787518780022259,1060,Yes,9.210912942886353
0.1,0.01,2.0,3,2,-6.58506681492377,0.013326205087941653,0.4784845320955101,-0.17452890589914918,0.5036760656421779,724.1994333805138,5.801535619839888,0.7856192575309766,1060,Yes,9.203552961349487
0.1,0.01,2.0,4,2,-6.591373288512646,0.007714752348106551,0.4605063205427814,-0.2713758827754963,0.5071506966522785,728.7810095901764,5.81978910986565,0.7246886584752535,1060,Yes,9.128323554992676
0.1,0.01,2.0,5,2,-6.59058718462317,0.009555105646467821,0.4634218997802421,-0.17752817562303813,0.4932003800505331,728.2083371234792,5.815550858310232,0.7914813322081183,1060,Yes,8.978854417800903
0.1,0.01,5.0,1,2,-6.630064273859977,0.02111435874643386,0.48474570785474647,-0.1693427792953485,0.5078759569260702,757.5308585094424,5.946577458722946,0.7856213509530536,1060,Yes,9.060763120651245
0.1,0.01,5.0,2,2,-6.63001431099377,0.02112686040623737,0.48473287194868864,-0.1693427792953485,0.5078759569260703,757.493011042003,5.945374995622724,0.7859799446057792,1060,Yes,9.004462242126465
