layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.92187452408975,0.05,1.0
1,64,2016,2016,1225.8743966312366,0.6080726173766055,970,4.6239199626986895,0.05,1.0
2,242,29161,29161,16229.670668834331,0.556553981990821,970,4.581034580733754,0.05,1.0
