parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,1,0.6713477369370119,219.0,0.2,0.05,970.0,219.0
0,1,0,235,0.6541222518340796,7.0,0.2,0.05,970.0,7.0
0,1,0,184,0.6670609296969996,18.0,0.2,0.05,970.0,18.0
0,1,0,1603,0.6570221978832529,14.0,0.2,0.05,970.0,14.0
0,1,0,3748,0.6454817851060358,14.0,0.2,0.05,970.0,14.0
0,1,0,7389,0.6425111373528102,23.0,0.2,0.05,970.0,23.0
0,1,0,128,0.6649756852699826,25.0,0.2,0.05,970.0,25.0
0,1,0,8539,0.640571484859793,7.0,0.2,0.05,970.0,7.0
0,1,0,2071,0.6710465604406377,15.0,0.2,0.05,970.0,15.0
0,1,0,869,0.6807682009019492,22.0,0.2,0.05,970.0,22.0
0,1,0,5749,0.667514580001435,18.0,0.2,0.05,970.0,18.0
0,1,0,10971,0.6412949771405431,5.0,0.2,0.05,970.0,5.0
0,1,0,12933,0.6458750020024059,10.0,0.2,0.05,970.0,10.0
0,1,0,15097,0.6752008017292421,12.0,0.2,0.05,970.0,12.0
0,1,0,9195,0.6541916861116998,10.0,0.2,0.05,970.0,10.0
0,1,0,391,0.661031449841571,7.0,0.2,0.05,970.0,7.0
0,1,0,18848,0.6438809236156229,12.0,0.2,0.05,970.0,12.0
0,1,0,7969,0.6684175383550207,10.0,0.2,0.05,970.0,10.0
0,1,0,19926,0.6648986272213575,11.0,0.2,0.05,970.0,11.0
0,1,0,14207,0.6682106172966511,11.0,0.2,0.05,970.0,11.0
0,1,0,7904,0.6609657718542846,15.0,0.2,0.05,970.0,15.0
0,1,0,53,0.6855015407733589,31.0,0.2,0.05,970.0,31.0
0,1,0,8518,0.6520463964246066,9.0,0.2,0.05,970.0,9.0
0,1,0,12652,0.6797086874364372,17.0,0.2,0.05,970.0,17.0
0,1,0,14645,0.6796526690940178,12.0,0.2,0.05,970.0,12.0
0,1,0,114,0.6730595518328387,18.0,0.2,0.05,970.0,18.0
0,1,0,350,0.6770301232116411,10.0,0.2,0.05,970.0,10.0
