layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.934078025043734,0.05,0.2
1,78,3003,3003,1754.7319167734609,0.5843263126118751,970,4.448415491277859,0.05,0.2
2,246,30135,30135,17183.473317589986,0.5702164698055413,970,4.520037379366142,0.05,0.2
