node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,alpha_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
145,4.215020584541815,103,1490,0.0691275167785235,0.2,2.0,170,29,1,0.0,"[32158,32229,32628,33397,35079,35319,35337,35338,35341,35349]",10
19691,6.152778018135355,61,1490,0.0409395973154362,0.2,2.0,170,6,1,0.0,"[34634,35343]",2
114,4.869453262659028,115,1490,0.0771812080536912,0.2,2.0,170,18,1,0.0,"[25078,35211,35214,35375]",4
25078,5.759002495409799,133,1490,0.0892617449664429,0.2,2.0,170,11,2,114.0,,0
350,5.523352744250969,51,1490,0.034228187919463,0.2,2.0,170,10,1,0.0,"[25667,35307,35324,35364,35371]",5
5077,5.337364978312874,80,1490,0.0536912751677852,0.2,2.0,170,4,1,0.0,[33514],1
8027,5.943241133747316,64,1490,0.0429530201342281,0.2,2.0,170,5,2,1.0,,0
8689,5.432466692815577,80,1490,0.0536912751677852,0.2,2.0,170,5,2,1.0,,0
21727,5.818465035434054,74,1490,0.0496644295302013,0.2,2.0,170,6,2,1.0,,0
9707,5.371912923207655,89,1490,0.059731543624161,0.2,2.0,170,6,2,8539.0,,0
15193,6.28798466114691,54,1490,0.036241610738255,0.2,2.0,170,9,1,0.0,"[35053,35273,35326,35363,35377]",5
14659,6.012545368210806,50,1490,0.0335570469798657,0.2,2.0,170,14,1,0.0,"[28472,33346,34184]",3
128,5.229078482119564,93,1490,0.0624161073825503,0.2,2.0,170,25,1,0.0,"[8827,18046,31904,33966,34988,35268,35378]",7
8827,5.729583879974163,115,1490,0.0771812080536912,0.2,2.0,170,5,2,128.0,,0
2,4.6160767933825,84,1490,0.0563758389261744,0.2,2.0,170,7,2,1.0,,0
18848,6.469097707947215,45,1490,0.0302013422818791,0.2,2.0,170,12,1,0.0,[19554],1
391,6.063728623597764,45,1490,0.0302013422818791,0.2,2.0,170,7,1,0.0,"[16774,35328]",2
2071,6.115009193263147,74,1490,0.0496644295302013,0.2,2.0,170,15,1,0.0,"[10666,35180,35362]",3
