parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,1,0.6713477369359322,970,219,0.2,0.05
0,1,0,235,0.654122251832873,970,7,0.2,0.05
0,1,0,184,0.6670609296958152,970,18,0.2,0.05
0,1,0,1603,0.6570221978820591,970,14,0.2,0.05
0,1,0,3748,0.6454817851048146,970,14,0.2,0.05
0,1,0,7389,0.642511137351591,970,23,0.2,0.05
0,1,0,128,0.6649756852688035,970,25,0.2,0.05
0,1,0,8539,0.6405714848585556,970,7,0.2,0.05
0,1,0,2071,0.6710465604394614,970,15,0.2,0.05
0,1,0,869,0.6807682009007986,970,22,0.2,0.05
0,1,0,5749,0.6675145800002595,970,18,0.2,0.05
0,1,0,10971,0.6412949771393075,970,5,0.2,0.05
0,1,0,12933,0.6458750020011813,970,10,0.2,0.05
0,1,0,15097,0.6752008017280793,970,12,0.2,0.05
0,1,0,9195,0.6541916861104905,970,10,0.2,0.05
0,1,0,391,0.6610314498403739,970,7,0.2,0.05
0,1,0,18848,0.6438809236143925,970,12,0.2,0.05
0,1,0,7969,0.6684175383538402,970,10,0.2,0.05
0,1,0,19926,0.6648986272201695,970,11,0.2,0.05
0,1,0,14207,0.6682106172954666,970,11,0.2,0.05
0,1,0,7904,0.6609657718530935,970,15,0.2,0.05
0,1,0,53,0.6855015407722194,970,31,0.2,0.05
0,1,0,8518,0.6520463964233915,970,9,0.2,0.05
0,1,0,12652,0.6797086874352761,970,17,0.2,0.05
0,1,0,14645,0.6796526690928597,970,12,0.2,0.05
0,1,0,114,0.6730595518316858,970,18,0.2,0.05
0,1,0,350,0.6770301232104768,970,10,0.2,0.05
0,1,0,473,0.6114122374680252,970,7,0.2,0.05
0,1,0,13173,0.6556052697981687,970,10,0.2,0.05
0,1,0,14659,0.668615642801022,970,14,0.2,0.05
0,1,0,59,0.6308928974602807,970,8,0.2,0.05
0,1,0,22123,0.6841188505669161,970,14,0.2,0.05
0,1,0,16440,0.6755602075004064,970,13,0.2,0.05
0,1,0,5631,0.6773062330385643,970,14,0.2,0.05
0,1,0,988,0.6737238360902535,970,20,0.2,0.05
0,1,0,3775,0.6852361120108535,970,12,0.2,0.05
0,1,0,145,0.7087210969479895,970,29,0.2,0.05
0,1,0,2255,0.6631133078496261,970,12,0.2,0.05
0,1,0,31487,0.6588455002002727,970,13,0.2,0.05
0,1,0,27021,0.6345588143806188,970,5,0.2,0.05
