layer,node_count,total_branches,avg_branching_factor,std_branching_factor,non_leaf_nodes,non_leaf_avg_branching,total_documents,gini_doc_distribution,gini_branch_distribution
0,1,55,55.0,0.0,1,55.0,970,0.0,0.0
1,55,243,4.418181818181818,6.885269940151971,55,4.418181818181818,970,0.532970946579194,0.42753460531238313
2,243,0,0.0,0.0,0,0.0,970,0.4104450383946374,0.0
