node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
101,4.433943491515397,120,1490,0.0805369127516778,0.05,2.0,90,33,1,0.0,"[206,2785,18435,19428,19529,19656,19742,19754,19894,19910]",10
1725,4.299835752479563,61,1490,0.0409395973154362,0.05,2.0,90,14,1,0.0,"[3860,19380,19737,19867]",4
14763,4.069815134001268,80,1490,0.0536912751677852,0.05,2.0,90,5,2,322.0,,0
6938,4.1170377773556135,90,1490,0.0604026845637583,0.05,2.0,90,16,1,0.0,"[11773,19166,19784,19823,19885,19887]",6
25,4.106633855917441,81,1490,0.0543624161073825,0.05,2.0,90,15,1,0.0,"[18450,18950,19094,19666,19806,19883,19900,19902]",8
4,4.2697883841967785,109,1490,0.0731543624161073,0.05,2.0,90,9,2,1.0,,0
2785,4.366232188216928,100,1490,0.0671140939597315,0.05,2.0,90,5,2,101.0,,0
322,4.199271577736492,68,1490,0.0456375838926174,0.05,2.0,90,19,1,0.0,"[14763,15092,16577,18829,19849]",5
15092,4.025079776822301,72,1490,0.0483221476510067,0.05,2.0,90,6,2,322.0,,0
11992,4.166376655946221,44,1490,0.0295302013422818,0.05,2.0,90,2,2,1.0,,0
1773,4.278893593780442,65,1490,0.0436241610738255,0.05,2.0,90,5,2,81.0,,0
1262,4.6248366747998055,73,1490,0.048993288590604,0.05,2.0,90,20,1,0.0,"[3633,4306,12863,14514]",4
3633,4.221553098729472,84,1490,0.0563758389261744,0.05,2.0,90,6,2,1262.0,,0
4755,4.965678849146303,80,1490,0.0536912751677852,0.05,2.0,90,4,1,0.0,"[19652,19891]",2
3041,4.738876325781357,122,1490,0.0818791946308724,0.05,2.0,90,8,2,369.0,,0
12610,5.135136411891194,59,1490,0.0395973154362416,0.05,2.0,90,8,1,0.0,"[12949,19194]",2
9504,4.3355701011103935,73,1490,0.048993288590604,0.05,2.0,90,9,1,0.0,"[17086,18887,19899]",3
2189,4.472052878285451,65,1490,0.0436241610738255,0.05,2.0,90,5,2,330.0,,0
11928,4.818223848902917,49,1490,0.0328859060402684,0.05,2.0,90,9,1,0.0,"[19635,19750,19862,19890]",4
14,4.172563328893084,106,1490,0.0711409395973154,0.05,2.0,90,17,1,0.0,"[9040,19749,19792,19848,19878]",5
9040,5.262841186666197,19,1490,0.0127516778523489,0.05,2.0,90,5,2,14.0,,0
11773,4.265103013319289,120,1490,0.0805369127516778,0.05,2.0,90,8,2,6938.0,,0
452,4.1850572625377005,51,1490,0.034228187919463,0.05,2.0,90,3,2,59.0,,0
50,4.280199984697785,98,1490,0.0657718120805369,0.05,2.0,90,5,2,1.0,,0
10407,4.562562654206202,50,1490,0.0335570469798657,0.05,2.0,90,3,2,1.0,,0
14514,4.42006111399639,80,1490,0.0536912751677852,0.05,2.0,90,6,2,1262.0,,0
5,5.62706207478451,18,1490,0.0120805369127516,0.05,2.0,90,6,1,0.0,"[19667,19857]",2
232,4.245441388534802,66,1490,0.0442953020134228,0.05,2.0,90,4,2,1.0,,0
330,4.895761750503233,51,1490,0.034228187919463,0.05,2.0,90,8,1,0.0,"[2189,19850,19893]",3
13139,4.659744609283284,112,1490,0.0751677852348993,0.05,2.0,90,6,2,862.0,,0
631,3.9549765811491673,120,1490,0.0805369127516778,0.05,2.0,90,13,2,1.0,,0
6674,5.225186724094035,22,1490,0.0147651006711409,0.05,2.0,90,8,1,0.0,"[15631,19888,19895]",3
8906,3.8571749460939424,86,1490,0.0577181208053691,0.05,2.0,90,9,2,1.0,,0
181,4.367129626121241,78,1490,0.0523489932885906,0.05,2.0,90,6,2,1.0,,0
57,4.884508981299573,44,1490,0.0295302013422818,0.05,2.0,90,9,1,0.0,"[1172,19868]",2
13972,4.370474800547319,65,1490,0.0436241610738255,0.05,2.0,90,4,2,62.0,,0
178,3.831150230335364,79,1490,0.0530201342281879,0.05,2.0,90,6,2,1.0,,0
2199,4.733240223100346,40,1490,0.0268456375838926,0.05,2.0,90,13,1,0.0,"[2419,15794,19425]",3
1172,4.080022332277644,71,1490,0.0476510067114094,0.05,2.0,90,8,2,57.0,,0
29,4.361885905407117,165,1490,0.110738255033557,0.05,2.0,90,10,2,1.0,,0
6316,5.057984545122792,31,1490,0.0208053691275167,0.05,2.0,90,8,1,0.0,"[18465,19326]",2
2419,4.5843121973406245,115,1490,0.0771812080536912,0.05,2.0,90,5,2,2199.0,,0
13791,4.223168682551952,66,1490,0.0442953020134228,0.05,2.0,90,3,2,11083.0,,0
297,4.632673857014754,63,1490,0.0422818791946308,0.05,2.0,90,13,1,0.0,"[18192,19515,19876]",3
1634,4.16005240832059,99,1490,0.0664429530201342,0.05,2.0,90,7,2,1.0,,0
174,4.575864093090603,96,1490,0.0644295302013422,0.05,2.0,90,5,2,1.0,,0
197,3.8783820239780966,68,1490,0.0456375838926174,0.05,2.0,90,5,2,1.0,,0
3855,5.091739314023449,25,1490,0.0167785234899328,0.05,2.0,90,6,1,0.0,[15944],1
13136,5.195708063049847,24,1490,0.0161073825503355,0.05,2.0,90,5,1,0.0,"[19704,19865]",2
11083,5.148691900151834,40,1490,0.0268456375838926,0.05,2.0,90,7,1,0.0,"[13791,19617]",2
15392,4.560962382068853,35,1490,0.023489932885906,0.05,2.0,90,17,1,0.0,"[17471,18107,19323,19686,19873,19911]",6
15631,4.544004694061707,95,1490,0.0637583892617449,0.05,2.0,90,5,2,6674.0,,0
15704,4.253753231162405,34,1490,0.0228187919463087,0.05,2.0,90,1,2,843.0,,0
15721,4.628436262275599,37,1490,0.0248322147651006,0.05,2.0,90,5,1,0.0,"[19774,19815]",2
15794,4.152275037236549,61,1490,0.0409395973154362,0.05,2.0,90,3,2,2199.0,,0
15944,4.660583824496439,115,1490,0.0771812080536912,0.05,2.0,90,6,2,3855.0,,0
16000,4.22528439374294,52,1490,0.0348993288590604,0.05,2.0,90,4,2,5850.0,,0
16031,4.486457755845052,51,1490,0.034228187919463,0.05,2.0,90,8,1,0.0,"[16194,19528,19585]",3
16194,4.504793972177131,35,1490,0.023489932885906,0.05,2.0,90,4,2,16031.0,,0
16331,4.435072180253287,98,1490,0.0657718120805369,0.05,2.0,90,6,2,1571.0,,0
16412,4.856323176028985,38,1490,0.0255033557046979,0.05,2.0,90,17,1,0.0,"[18017,18205,19494,19820]",4
16522,5.169038031918709,27,1490,0.0181208053691275,0.05,2.0,90,15,1,0.0,"[16523,18651,18968,19209,19238,19880]",6
16523,4.506358013836575,87,1490,0.0583892617449664,0.05,2.0,90,3,2,16522.0,,0
16577,4.064542979141074,37,1490,0.0248322147651006,0.05,2.0,90,2,2,322.0,,0
16716,4.391340701167761,124,1490,0.0832214765100671,0.05,2.0,90,6,2,2512.0,,0
17086,4.630113001733851,54,1490,0.036241610738255,0.05,2.0,90,6,2,9504.0,,0
17425,4.54911715592019,89,1490,0.059731543624161,0.05,2.0,90,5,2,51.0,,0
17471,4.688918132483912,86,1490,0.0577181208053691,0.05,2.0,90,4,2,15392.0,,0
17713,4.50497053235158,38,1490,0.0255033557046979,0.05,2.0,90,6,1,0.0,"[18290,19886]",2
17921,4.979072037795081,41,1490,0.0275167785234899,0.05,2.0,90,4,1,0.0,"[19549,19833]",2
18017,4.095868532782256,66,1490,0.0442953020134228,0.05,2.0,90,4,2,16412.0,,0
18107,4.55831059382423,42,1490,0.0281879194630872,0.05,2.0,90,3,2,15392.0,,0
18187,4.422560715553584,81,1490,0.0543624161073825,0.05,2.0,90,8,2,51.0,,0
18192,4.604683161997576,111,1490,0.074496644295302,0.05,2.0,90,7,2,297.0,,0
18205,4.710837048781519,82,1490,0.0550335570469798,0.05,2.0,90,5,2,16412.0,,0
18290,4.580388648633121,84,1490,0.0563758389261744,0.05,2.0,90,4,2,17713.0,,0
18375,3.916962124008225,70,1490,0.046979865771812,0.05,2.0,90,5,2,62.0,,0
18435,4.527609259507534,44,1490,0.0295302013422818,0.05,2.0,90,5,2,101.0,,0
18450,5.298436350425861,20,1490,0.0134228187919463,0.05,2.0,90,1,2,25.0,,0
18465,4.657902779542667,49,1490,0.0328859060402684,0.05,2.0,90,4,2,6316.0,,0
