layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used
0,1,0,0,0.0,0.0,970,4.982843255577173,0.05
1,55,1485,1485,839.2341230395274,0.5651408235956413,970,4.698125793403328,0.05
2,243,29403,29403,16926.34777607641,0.5756673732638306,970,4.491076832091432,0.05
