layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.92042370606438
1,44,946,946,442.9863132217691,0.4682730583739631,970,5.3273538797950035
2,154,11781,11781,5792.869406198341,0.4917128771919481,970,5.142693505378376
