record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[629, 625, 624, 623, 622, 629, 631, 635, 636, 641, 646, 646, 650, 646, 650, 651, 644, 639, 623, 633, 635]",0.9491574344547793,0.010276620058044736,0.20000000000000004,2.7755575615628914e-17,"[0.9655172413793104, 0.942457231726283, 0.9453978159126365, 0.9453125, 0.9577464788732394, 0.9474497681607419, 0.941717791411043, 0.9493865030674846, 0.9407294832826748, 0.9353383458646617, 0.9516616314199395, 0.9547511312217195, 0.9726027397260274, 0.9666160849772383, 0.9534534534534534, 0.9473684210526315, 0.9468892261001517, 0.9505409582689336, 0.9352850539291218, 0.9329268292682927]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[635, 624, 629, 628, 628, 634, 637, 631, 625, 623, 626, 636, 642, 643, 643, 649, 647, 644, 639, 639, 628]",0.947162548442755,0.007508681678850247,0.20000000000000004,2.7755575615628914e-17,"[0.9399075500770416, 0.9426356589147287, 0.9458204334365325, 0.956386292834891, 0.9445300462249615, 0.9404580152671755, 0.9537750385208013, 0.9503105590062112, 0.937888198757764, 0.9454828660436138, 0.9385560675883257, 0.948170731707317, 0.9499241274658573, 0.9455370650529501, 0.9457831325301205, 0.9577039274924471, 0.9679878048780488, 0.9528158295281582, 0.9393019726858877, 0.9402756508422665]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[628, 626, 626, 621, 630, 630, 627, 632, 631, 632, 626, 629, 629, 628, 633, 640, 635, 633, 629, 631, 630]",0.946450094183654,0.009897053025497057,0.20000000000000004,2.7755575615628914e-17,"[0.9655172413793104, 0.9410852713178295, 0.957613814756672, 0.9455676516329704, 0.9474497681607419, 0.9458204334365325, 0.9399075500770416, 0.943076923076923, 0.958139534883721, 0.9564541213063764, 0.9337442218798151, 0.9625585023400937, 0.9548989113530326, 0.9429892141756548, 0.9346504559270516, 0.9465648854961832, 0.9418070444104135, 0.9475308641975309, 0.926605504587156, 0.9370199692780338]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[630, 630, 625, 626, 624, 626, 625, 632, 631, 627, 626, 632, 641, 650, 647, 653, 645, 643, 655, 659, 653]",0.9457588336677988,0.006838508408281688,0.20000000000000004,2.7755575615628914e-17,"[0.9534883720930233, 0.9578783151326054, 0.9516380655226209, 0.9470404984423676, 0.9623233908948194, 0.9365325077399381, 0.9368258859784283, 0.9400921658986175, 0.9473684210526315, 0.9456521739130435, 0.9443585780525502, 0.9435114503816794, 0.9442771084337349, 0.9445277361319341, 0.9461077844311377, 0.9460269865067467, 0.9368421052631579, 0.9460269865067467, 0.9495548961424333, 0.9351032448377581]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
