layer,node1_id,node2_id,js_distance,node1_doc_count,node2_doc_count
1,1,8,0.6519839860979839,390,19
1,1,17,0.646460947076672,390,10
1,1,23,0.6374380790378564,390,16
1,1,41,0.651021665854398,390,16
1,1,49,0.6366298038269582,390,13
1,1,51,0.6327032940960136,390,12
1,1,56,0.6462845576279084,390,15
1,1,63,0.648265376922526,390,12
1,1,72,0.6383428401286321,390,19
1,1,110,0.6230317630597543,390,3
1,1,125,0.6725162847690072,390,20
1,1,163,0.6966449153944518,390,46
1,1,198,0.661548237509031,390,10
1,1,228,0.6536837905577905,390,17
1,1,278,0.6318206746193756,390,16
1,1,303,0.6763867625039853,390,18
1,1,358,0.6877884372651754,390,26
1,1,403,0.6566309497090936,390,15
1,1,433,0.6488730247577414,390,11
1,1,496,0.6719593202766861,390,25
1,1,531,0.6455919317266279,390,19
1,1,588,0.6346057298024937,390,9
1,1,1153,0.6281966759780057,390,13
1,1,1347,0.6357174123836704,390,12
1,1,2550,0.6489997624423822,390,16
1,1,3344,0.6490096011153776,390,11
1,1,4412,0.6350442868596913,390,4
1,1,5326,0.6286565528148509,390,11
1,1,5590,0.6077387858534156,390,10
1,1,5634,0.6477578702056452,390,16
1,1,5812,0.659383086905546,390,14
1,1,6669,0.6597597413609525,390,11
1,1,6687,0.6458001795690105,390,10
1,1,7305,0.6310592468091114,390,6
1,1,7594,0.6522418395275325,390,10
1,1,7828,0.6571524811866761,390,6
1,1,8614,0.6238326495980998,390,8
1,1,8741,0.6382194039344681,390,7
1,1,8744,0.6177034487931874,390,10
1,1,8814,0.646155340026317,390,3
1,1,9218,0.6135111838249435,390,3
1,1,9250,0.6142427002217865,390,6
1,1,9322,0.6382633559495848,390,6
1,1,9474,0.6434820892792777,390,9
1,1,9604,0.6208714564984412,390,5
1,1,9645,0.5967767119384109,390,6
1,8,17,0.4998890551878789,19,10
1,8,23,0.4865069756213432,19,16
1,8,41,0.4917005524659062,19,16
1,8,49,0.4838931894175648,19,13
1,8,51,0.5132478304207656,19,12
1,8,56,0.48926742217305935,19,15
1,8,63,0.4890689970642418,19,12
1,8,72,0.4826396284082768,19,19
1,8,110,0.4482299630986666,19,3
1,8,125,0.5061547971794649,19,20
1,8,163,0.5952891643601486,19,46
1,8,198,0.5339253490598334,19,10
1,8,228,0.5202366166238143,19,17
1,8,278,0.4597362805845173,19,16
1,8,303,0.526014008979499,19,18
1,8,358,0.571881508786676,19,26
1,8,403,0.5164624624850922,19,15
1,8,433,0.5099112406931932,19,11
1,8,496,0.5717405706081035,19,25
1,8,531,0.4762332145219968,19,19
1,8,588,0.4946157961308478,19,9
1,8,1153,0.4814950247313942,19,13
1,8,1347,0.4727082478543646,19,12
1,8,2550,0.4883811648707154,19,16
1,8,3344,0.46102936669672345,19,11
1,8,4412,0.46027418983526047,19,4
1,8,5326,0.46558183527725233,19,11
1,8,5590,0.504170443102724,19,10
1,8,5634,0.4915479886062343,19,16
1,8,5812,0.49960718002959525,19,14
