layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.895857578578628
1,47,1081,1081,544.0171173225812,0.5032535775417032,970,4.9660392179410096
2,163,13203,13203,6736.104356080363,0.5101949826615438,970,4.978852873367841
