node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
1423,4.530009562718682,86,1490,0.0577181208053691,0.1,2.0,500,6,2,1.0,,0
1436,4.803350335102774,188,1490,0.1261744966442953,0.1,2.0,500,20,2,163.0,,0
1697,4.765847491617246,117,1490,0.0785234899328859,0.1,2.0,500,10,2,63.0,,0
1859,5.130329971893542,59,1490,0.0395973154362416,0.1,2.0,500,5,2,1347.0,,0
2001,4.371958960323625,164,1490,0.1100671140939597,0.1,2.0,500,13,2,1.0,,0
2081,4.947658998017395,158,1490,0.1060402684563758,0.1,2.0,500,11,2,1.0,,0
2207,4.943446930722554,213,1490,0.1429530201342282,0.1,2.0,500,12,2,531.0,,0
2550,4.7189104786275164,97,1490,0.0651006711409395,0.1,2.0,500,16,1,0.0,"[8567,9546,9760,9780,9796,9802]",6
2713,4.88076177546824,182,1490,0.1221476510067114,0.1,2.0,500,14,2,1.0,,0
2792,5.059792604953056,186,1490,0.1248322147651006,0.1,2.0,500,14,2,1.0,,0
2876,4.5514238892520575,181,1490,0.121476510067114,0.1,2.0,500,12,2,49.0,,0
3344,5.529825667596637,66,1490,0.0442953020134228,0.1,2.0,500,11,1,0.0,[3345],1
3345,4.854889343438495,159,1490,0.1067114093959731,0.1,2.0,500,11,2,3344.0,,0
3590,4.95040102802733,104,1490,0.0697986577181208,0.1,2.0,500,7,2,163.0,,0
3847,4.973126710261795,128,1490,0.0859060402684563,0.1,2.0,500,9,2,1.0,,0
3994,5.20402020360413,54,1490,0.036241610738255,0.1,2.0,500,2,2,63.0,,0
4046,4.65342791350704,137,1490,0.0919463087248322,0.1,2.0,500,7,2,1.0,,0
4089,4.969370249049335,159,1490,0.1067114093959731,0.1,2.0,500,9,2,1153.0,,0
4099,4.657352613663616,150,1490,0.1006711409395973,0.1,2.0,500,12,2,1.0,,0
4395,4.966483674439338,170,1490,0.1140939597315436,0.1,2.0,500,7,2,51.0,,0
4412,5.210533161425511,50,1490,0.0335570469798657,0.1,2.0,500,4,1,0.0,"[9137,9708]",2
5001,4.82339331759658,161,1490,0.1080536912751677,0.1,2.0,500,15,2,23.0,,0
5326,5.729370109247716,64,1490,0.0429530201342281,0.1,2.0,500,11,1,0.0,"[6134,9733]",2
5363,5.228498117028767,107,1490,0.0718120805369127,0.1,2.0,500,6,2,1.0,,0
5511,4.292298792890201,173,1490,0.1161073825503355,0.1,2.0,500,18,2,1.0,,0
5590,4.728066865780672,88,1490,0.0590604026845637,0.1,2.0,500,10,1,0.0,"[5591,9301,9797]",3
5591,4.99863236009876,115,1490,0.0771812080536912,0.1,2.0,500,6,2,5590.0,,0
5634,4.776029680689603,90,1490,0.0604026845637583,0.1,2.0,500,16,1,0.0,"[7381,9696,9724,9746]",4
5812,5.283923961030407,85,1490,0.0570469798657718,0.1,2.0,500,14,1,0.0,"[9450,9478,9793]",3
6134,4.927252396797087,115,1490,0.0771812080536912,0.1,2.0,500,6,2,5326.0,,0
6190,4.81153022334,101,1490,0.0677852348993288,0.1,2.0,500,4,2,278.0,,0
6405,5.164574025830735,70,1490,0.046979865771812,0.1,2.0,500,4,2,358.0,,0
6430,4.838870172030272,148,1490,0.0993288590604026,0.1,2.0,500,12,2,1.0,,0
6669,5.393528662748171,100,1490,0.0671140939597315,0.1,2.0,500,11,1,0.0,"[9523,9559,9801]",3
6687,4.899954469677796,66,1490,0.0442953020134228,0.1,2.0,500,10,1,0.0,"[9278,9765,9779]",3
6988,4.978406436147534,135,1490,0.0906040268456375,0.1,2.0,500,11,2,1.0,,0
7108,5.047203019839516,102,1490,0.0684563758389261,0.1,2.0,500,10,2,125.0,,0
7305,5.841403852532248,47,1490,0.0315436241610738,0.1,2.0,500,6,1,0.0,"[9635,9788]",2
7381,5.18271922768534,72,1490,0.0483221476510067,0.1,2.0,500,6,2,5634.0,,0
7389,6.111152510173899,15,1490,0.0100671140939597,0.1,2.0,500,3,2,358.0,,0
7439,5.1696355100447535,119,1490,0.0798657718120805,0.1,2.0,500,6,2,1.0,,0
7452,5.059991640132014,149,1490,0.1,0.1,2.0,500,14,2,303.0,,0
7475,4.894504338714874,109,1490,0.0731543624161073,0.1,2.0,500,6,2,56.0,,0
7594,4.733482669758506,77,1490,0.0516778523489932,0.1,2.0,500,10,1,0.0,"[9269,9794]",2
7828,5.593698551061135,82,1490,0.0550335570469798,0.1,2.0,500,6,1,0.0,"[9393,9798]",2
8562,4.767768312257223,74,1490,0.0496644295302013,0.1,2.0,500,5,2,588.0,,0
8567,5.472692776850165,22,1490,0.0147651006711409,0.1,2.0,500,2,2,2550.0,,0
8575,4.703992662428709,98,1490,0.0657718120805369,0.1,2.0,500,5,2,1.0,,0
8614,5.908214910304149,47,1490,0.0315436241610738,0.1,2.0,500,8,1,0.0,"[9540,9799,9805]",3
8671,5.0517785765773935,131,1490,0.0879194630872483,0.1,2.0,500,7,2,1.0,,0
