iteration,leaf_node_id,document_id,layer_0_node_id,layer_1_node_id,layer_2_node_id
0,2,106,0,1,2
0,2,107,0,1,2
0,2,252,0,1,2
0,2,278,0,1,2
0,2,348,0,1,2
0,2,381,0,1,2
0,2,420,0,1,2
0,2,469,0,1,2
0,2,491,0,1,2
0,2,566,0,1,2
0,2,851,0,1,2
0,2,892,0,1,2
0,2,908,0,1,2
0,3,12,0,1,3
0,3,19,0,1,3
0,3,28,0,1,3
0,3,31,0,1,3
0,3,42,0,1,3
0,3,50,0,1,3
0,3,75,0,1,3
0,3,78,0,1,3
0,3,108,0,1,3
0,3,130,0,1,3
0,3,133,0,1,3
0,3,144,0,1,3
0,3,161,0,1,3
0,3,175,0,1,3
0,3,194,0,1,3
0,3,246,0,1,3
0,3,270,0,1,3
0,3,280,0,1,3
0,3,284,0,1,3
0,3,287,0,1,3
0,3,299,0,1,3
0,3,317,0,1,3
0,3,326,0,1,3
0,3,334,0,1,3
0,3,344,0,1,3
0,3,345,0,1,3
0,3,382,0,1,3
0,3,388,0,1,3
0,3,421,0,1,3
0,3,432,0,1,3
0,3,436,0,1,3
0,3,453,0,1,3
0,3,523,0,1,3
0,3,576,0,1,3
0,3,595,0,1,3
0,3,608,0,1,3
0,3,620,0,1,3
0,3,622,0,1,3
0,3,623,0,1,3
0,3,626,0,1,3
0,3,666,0,1,3
0,3,675,0,1,3
0,3,707,0,1,3
0,3,709,0,1,3
0,3,710,0,1,3
0,3,729,0,1,3
0,3,753,0,1,3
0,3,784,0,1,3
0,3,800,0,1,3
0,3,815,0,1,3
0,3,853,0,1,3
0,3,901,0,1,3
0,3,907,0,1,3
0,3,911,0,1,3
0,3,914,0,1,3
0,3,915,0,1,3
0,3,916,0,1,3
0,3,919,0,1,3
0,3,922,0,1,3
0,4,163,0,1,4
0,4,264,0,1,4
0,4,332,0,1,4
0,4,601,0,1,4
0,4,612,0,1,4
0,4,906,0,1,4
0,4,964,0,1,4
0,10,0,0,1,10
0,10,188,0,1,10
0,10,377,0,1,10
0,10,513,0,1,10
0,10,603,0,1,10
0,10,703,0,1,10
0,10,718,0,1,10
0,10,741,0,1,10
0,10,788,0,1,10
0,10,812,0,1,10
0,29,408,0,1,29
0,29,518,0,1,29
0,29,602,0,1,29
0,29,636,0,1,29
0,29,644,0,1,29
0,29,647,0,1,29
0,29,648,0,1,29
0,29,650,0,1,29
0,29,658,0,1,29
0,29,667,0,1,29
0,29,708,0,1,29
0,29,719,0,1,29
0,29,744,0,1,29
0,39,115,0,1,39
0,39,124,0,1,39
0,39,190,0,1,39
0,39,238,0,1,39
0,39,261,0,1,39
0,39,347,0,1,39
0,39,430,0,1,39
0,39,440,0,1,39
0,39,468,0,1,39
0,39,652,0,1,39
0,39,661,0,1,39
0,39,701,0,1,39
0,39,726,0,1,39
0,39,904,0,1,39
0,39,940,0,1,39
0,50,237,0,1,50
0,50,321,0,1,50
0,50,331,0,1,50
0,50,372,0,1,50
0,50,801,0,1,50
0,50,876,0,1,50
0,75,83,0,1,75
0,75,158,0,1,75
0,75,196,0,1,75
0,75,200,0,1,75
0,75,202,0,1,75
0,75,809,0,1,75
0,75,838,0,1,75
0,76,11,0,1,76
0,76,20,0,1,76
0,76,266,0,1,76
0,76,367,0,1,76
0,76,473,0,1,76
0,76,831,0,1,76
0,76,903,0,1,76
0,125,32,0,1,125
0,125,157,0,1,125
0,125,254,0,1,125
0,125,397,0,1,125
0,125,624,0,1,125
0,125,912,0,1,125
0,148,52,0,1,148
0,148,394,0,1,148
0,168,36,0,1,168
0,168,151,0,1,168
0,168,235,0,1,168
0,168,239,0,1,168
0,168,352,0,1,168
0,168,391,0,1,168
0,168,433,0,1,168
0,168,529,0,1,168
0,168,536,0,1,168
0,168,609,0,1,168
0,168,641,0,1,168
0,168,665,0,1,168
0,168,687,0,1,168
0,168,730,0,1,168
0,168,813,0,1,168
0,168,896,0,1,168
0,168,939,0,1,168
0,168,966,0,1,168
0,168,969,0,1,168
0,174,655,0,1,174
0,174,739,0,1,174
0,178,342,0,1,178
0,178,387,0,1,178
0,178,501,0,1,178
0,178,617,0,1,178
0,178,657,0,1,178
0,178,693,0,1,178
0,178,827,0,1,178
0,181,310,0,1,181
0,181,410,0,1,181
0,181,486,0,1,181
0,181,859,0,1,181
0,183,38,0,1,183
0,183,471,0,1,183
0,183,472,0,1,183
0,183,547,0,1,183
0,183,607,0,1,183
0,183,633,0,1,183
0,183,649,0,1,183
0,197,663,0,1,197
0,197,725,0,1,197
0,197,738,0,1,197
0,197,794,0,1,197
0,197,948,0,1,197
0,206,84,0,101,206
0,206,154,0,101,206
0,206,298,0,101,206
0,206,555,0,101,206
0,206,761,0,101,206
0,206,931,0,101,206
0,232,248,0,1,232
0,232,274,0,1,232
0,232,479,0,1,232
0,232,672,0,1,232
0,232,743,0,1,232
0,232,781,0,1,232
0,232,805,0,1,232
0,241,1,0,1,241
0,241,45,0,1,241
0,241,132,0,1,241
0,241,259,0,1,241
0,241,339,0,1,241
0,241,396,0,1,241
0,241,493,0,1,241
0,241,671,0,1,241
0,241,705,0,1,241
0,452,227,0,59,452
0,452,383,0,59,452
0,452,422,0,59,452
0,452,651,0,59,452
0,552,21,0,59,552
0,552,30,0,59,552
0,552,291,0,59,552
0,552,301,0,59,552
0,552,786,0,59,552
