node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_used,alpha_folder,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.927917772792462,753,1490,0.5053691275167785,0.05,0.2,2.0,170,970,0,,"[1,582,123,1265,178,2835,2380,4972,165,34,7160,5370,10053,11236,13715,9133,9249,1650,19285,22358,18564,24680,20742,25688,26655,27436,1353,7936,25191,79,29660,4214,11011,26991,16423,2231,209,8506,736,422,21504,624,22968,3232,931,32148,32610,204,41,30448,32674,81,28111,26442,23746,26644,19270,31421,33393,21239,18708,8292,33562,33216,30279,33646,33700]",67
1,4.340095700911532,363,1490,0.2436241610738255,0.05,0.2,2.0,170,325,1,0.0,"[2,23,101,114,117,130,200,361,455,593,801,1412,2550,3091,4481,7387,7539,7786,8323,9912,10919,11486,13892,15948,18435,18440,23093,24053,29008,30271,30852,31092,31176,31524,32170,32440,32441,32527,32576,32663,32804,32991,33142,33197,33482,33498,33524,33533,33557,33565,33569,33604,33628,33649,33671,33690,33697,33702,33706]",59
19285,4.757948013290346,68,1490,0.0456375838926174,0.05,0.2,2.0,170,14,1,0.0,"[20178,31799,33414]",3
20178,4.685413921515105,96,1490,0.0644295302013422,0.05,0.2,2.0,170,7,2,19285.0,,0
422,3.5480498813753174,93,1490,0.0624161073825503,0.05,0.2,2.0,170,21,1,0.0,"[32106,32712,33375,33597,33629,33644,33672,33695]",8
23746,4.362669304207225,56,1490,0.0375838926174496,0.05,0.2,2.0,170,6,1,0.0,"[33278,33705]",2
117,4.594792153719752,121,1490,0.0812080536912751,0.05,0.2,2.0,170,7,2,1.0,,0
455,4.373172439788583,90,1490,0.0604026845637583,0.05,0.2,2.0,170,5,2,1.0,,0
7387,4.777708715429342,127,1490,0.085234899328859,0.05,0.2,2.0,170,11,2,1.0,,0
2231,4.156169250825091,58,1490,0.0389261744966442,0.05,0.2,2.0,170,14,1,0.0,"[31130,31919,33620,33685,33707]",5
4214,4.343009341819327,51,1490,0.034228187919463,0.05,0.2,2.0,170,12,1,0.0,"[30438,33445,33505,33653,33709,33715]",6
14258,4.043893421509808,71,1490,0.0476510067114094,0.05,0.2,2.0,170,6,2,13715.0,,0
2,4.532938088909912,244,1490,0.1637583892617449,0.05,0.2,2.0,170,29,2,1.0,,0
3943,4.484354401109509,67,1490,0.0449664429530201,0.05,0.2,2.0,170,4,2,2380.0,,0
18708,5.1062547363122,30,1490,0.0201342281879194,0.05,0.2,2.0,170,4,1,0.0,[33514],1
7160,5.057984545122792,31,1490,0.0208053691275167,0.05,0.2,2.0,170,15,1,0.0,"[8765,31745,32426,33360,33673]",5
8765,4.877278231462554,38,1490,0.0255033557046979,0.05,0.2,2.0,170,2,2,7160.0,,0
10053,4.688435932868436,95,1490,0.0637583892617449,0.05,0.2,2.0,170,12,1,0.0,"[10215,33515]",2
10215,4.076678800153234,102,1490,0.0684563758389261,0.05,0.2,2.0,170,9,2,10053.0,,0
41,4.737791598188797,78,1490,0.0523489932885906,0.05,0.2,2.0,170,10,1,0.0,"[32867,33652,33698]",3
11486,4.039124314503542,91,1490,0.0610738255033557,0.05,0.2,2.0,170,8,2,1.0,,0
5900,4.156981734175443,66,1490,0.0442953020134228,0.05,0.2,2.0,170,6,2,34.0,,0
847,4.238731794126518,117,1490,0.0785234899328859,0.05,0.2,2.0,170,8,2,123.0,,0
4481,4.259351906648233,120,1490,0.0805369127516778,0.05,0.2,2.0,170,8,2,1.0,,0
8323,4.342391887296952,71,1490,0.0476510067114094,0.05,0.2,2.0,170,3,2,1.0,,0
34,4.94523149644887,50,1490,0.0335570469798657,0.05,0.2,2.0,170,13,1,0.0,"[5900,7196,33627]",3
24141,3.684246757405728,97,1490,0.0651006711409395,0.05,0.2,2.0,170,9,2,22358.0,,0
2386,4.570335144223963,61,1490,0.0409395973154362,0.05,0.2,2.0,170,5,2,178.0,,0
582,3.578499765793757,67,1490,0.0449664429530201,0.05,0.2,2.0,170,19,1,0.0,"[583,5715,33473,33710]",4
583,4.0371965167807815,109,1490,0.0731543624161073,0.05,0.2,2.0,170,12,2,582.0,,0
18440,4.279701728713756,85,1490,0.0570469798657718,0.05,0.2,2.0,170,6,2,1.0,,0
18435,4.526046049601021,203,1490,0.136241610738255,0.05,0.2,2.0,170,14,2,1.0,,0
123,4.967689106497331,62,1490,0.0416107382550335,0.05,0.2,2.0,170,11,1,0.0,"[847,33444]",2
7196,4.355221705987825,62,1490,0.0416107382550335,0.05,0.2,2.0,170,5,2,34.0,,0
21504,4.504932783770909,46,1490,0.0308724832214765,0.05,0.2,2.0,170,9,1,0.0,"[32230,33411,33667]",3
10919,4.106270947806184,100,1490,0.0671140939597315,0.05,0.2,2.0,170,7,2,1.0,,0
23093,4.61126466323966,98,1490,0.0657718120805369,0.05,0.2,2.0,170,8,2,1.0,,0
18564,4.888015282953497,63,1490,0.0422818791946308,0.05,0.2,2.0,170,8,1,0.0,"[25267,33716]",2
593,4.375240259444837,149,1490,0.1,0.05,0.2,2.0,170,12,2,1.0,,0
1265,4.891059672665563,43,1490,0.0288590604026845,0.05,0.2,2.0,170,5,1,0.0,[1695],1
1695,3.95094109653753,57,1490,0.0382550335570469,0.05,0.2,2.0,170,5,2,1265.0,,0
11011,4.403232674319009,71,1490,0.0476510067114094,0.05,0.2,2.0,170,15,1,0.0,"[30610,32624,33232,33665,33679]",5
7936,4.408043995405589,72,1490,0.0483221476510067,0.05,0.2,2.0,170,15,1,0.0,"[28854,33107,33572,33674]",4
3091,4.447379237438212,73,1490,0.048993288590604,0.05,0.2,2.0,170,6,2,1.0,,0
13715,4.706881876901675,49,1490,0.0328859060402684,0.05,0.2,2.0,170,11,1,0.0,"[14258,33351,33713]",3
2835,4.658695543900306,57,1490,0.0382550335570469,0.05,0.2,2.0,170,9,1,0.0,"[3083,33680,33681]",3
3083,4.2914201128593525,58,1490,0.0389261744966442,0.05,0.2,2.0,170,6,2,2835.0,,0
4972,4.227677305494067,99,1490,0.0664429530201342,0.05,0.2,2.0,170,15,1,0.0,"[5522,17311,32938,33712,33719]",5
5522,4.826158293830184,100,1490,0.0671140939597315,0.05,0.2,2.0,170,4,2,4972.0,,0
209,4.877660858338002,74,1490,0.0496644295302013,0.05,0.2,2.0,170,8,1,0.0,"[31205,33373]",2
2550,4.319017781250297,82,1490,0.0550335570469798,0.05,0.2,2.0,170,4,2,1.0,,0
1353,3.891144309595213,89,1490,0.059731543624161,0.05,0.2,2.0,170,24,1,0.0,"[28810,32129,32909,33023,33033,33211,33615,33688,33717]",9
101,3.749997294189444,106,1490,0.0711409395973154,0.05,0.2,2.0,170,10,2,1.0,,0
1412,4.21013138899102,128,1490,0.0859060402684563,0.05,0.2,2.0,170,12,2,1.0,,0
736,4.326642427943291,73,1490,0.048993288590604,0.05,0.2,2.0,170,14,1,0.0,"[31954,33379,33574,33670,33693]",5
8506,5.016555917040051,37,1490,0.0248322147651006,0.05,0.2,2.0,170,8,1,0.0,"[31572,33535,33643]",3
79,4.38780958289242,114,1490,0.0765100671140939,0.05,0.2,2.0,170,12,1,0.0,"[29465,32365]",2
23456,4.457998313077085,99,1490,0.0664429530201342,0.05,0.2,2.0,170,9,2,165.0,,0
23,4.535653808219679,182,1490,0.1221476510067114,0.05,0.2,2.0,170,11,2,1.0,,0
7539,4.123130808911802,83,1490,0.0557046979865771,0.05,0.2,2.0,170,6,2,1.0,,0
16618,4.412328927464529,63,1490,0.0422818791946308,0.05,0.2,2.0,170,5,2,9249.0,,0
7786,4.813340164817141,37,1490,0.0248322147651006,0.05,0.2,2.0,170,2,2,1.0,,0
19270,4.32042372902076,73,1490,0.048993288590604,0.05,0.2,2.0,170,17,1,0.0,"[33355,33418,33421,33463,33692]",5
801,4.575775039622376,150,1490,0.1006711409395973,0.05,0.2,2.0,170,10,2,1.0,,0
361,4.774854474722706,162,1490,0.1087248322147651,0.05,0.2,2.0,170,9,2,1.0,,0
24053,4.106996049771169,104,1490,0.0697986577181208,0.05,0.2,2.0,170,10,2,1.0,,0
5817,4.174735928014727,54,1490,0.036241610738255,0.05,0.2,2.0,170,5,2,165.0,,0
22358,4.816503056013858,59,1490,0.0395973154362416,0.05,0.2,2.0,170,12,1,0.0,"[24141,33255]",2
178,4.461491539707219,61,1490,0.0409395973154362,0.05,0.2,2.0,170,12,1,0.0,"[2386,33123,33458]",3
1650,4.666706365685247,67,1490,0.0449664429530201,0.05,0.2,2.0,170,6,1,0.0,"[18054,33666,33677]",3
5370,4.115041035683706,85,1490,0.0570469798657718,0.05,0.2,2.0,170,13,1,0.0,[9421],1
9421,4.577362425616213,139,1490,0.0932885906040268,0.05,0.2,2.0,170,13,2,5370.0,,0
16423,4.775765547830443,34,1490,0.0228187919463087,0.05,0.2,2.0,170,12,1,0.0,"[31038,33582,33660]",3
9249,4.827640216966491,53,1490,0.0355704697986577,0.05,0.2,2.0,170,8,1,0.0,"[16618,33308]",2
13892,4.360875637450138,58,1490,0.0389261744966442,0.05,0.2,2.0,170,4,2,1.0,,0
22968,4.635650557533487,78,1490,0.0523489932885906,0.05,0.2,2.0,170,7,1,0.0,"[32311,33638]",2
165,4.463972674186419,123,1490,0.0825503355704698,0.05,0.2,2.0,170,18,1,0.0,"[5817,23456,33581,33703]",4
200,4.162144967340678,85,1490,0.0570469798657718,0.05,0.2,2.0,170,5,2,1.0,,0
9912,4.646018751166371,89,1490,0.059731543624161,0.05,0.2,2.0,170,6,2,1.0,,0
17311,4.401690522821272,28,1490,0.0187919463087248,0.05,0.2,2.0,170,4,2,4972.0,,0
20742,4.313447664471239,87,1490,0.0583892617449664,0.05,0.2,2.0,170,13,1,0.0,"[25924,33682,33708]",3
24680,4.83154598865779,47,1490,0.0315436241610738,0.05,0.2,2.0,170,10,1,0.0,"[25378,32989,33686]",3
15438,4.33769764572531,91,1490,0.0610738255033557,0.05,0.2,2.0,170,9,2,9133.0,,0
18054,4.164729318369739,63,1490,0.0422818791946308,0.05,0.2,2.0,170,4,2,1650.0,,0
15948,4.542272739621355,120,1490,0.0805369127516778,0.05,0.2,2.0,170,6,2,1.0,,0
21239,3.9017472353961344,33,1490,0.0221476510067114,0.05,0.2,2.0,170,2,1,0.0,[33432],1
11236,4.707349215047222,56,1490,0.0375838926174496,0.05,0.2,2.0,170,8,1,0.0,"[11316,28843]",2
11316,4.373218677657715,96,1490,0.0644295302013422,0.05,0.2,2.0,170,6,2,11236.0,,0
130,4.654559555469594,127,1490,0.085234899328859,0.05,0.2,2.0,170,8,2,1.0,,0
8292,4.589565067554045,65,1490,0.0436241610738255,0.05,0.2,2.0,170,6,1,0.0,"[33542,33591,33640,33689]",4
81,4.4351860684255415,60,1490,0.0402684563758389,0.05,0.2,2.0,170,3,1,0.0,[33186],1
9133,4.820417022239232,53,1490,0.0355704697986577,0.05,0.2,2.0,170,13,1,0.0,"[15438,33558]",2
204,4.377868769806471,84,1490,0.0563758389261744,0.05,0.2,2.0,170,10,1,0.0,"[32672,33345,33691]",3
2380,5.084748077863288,26,1490,0.0174496644295302,0.05,0.2,2.0,170,9,1,0.0,"[3943,33606,33641]",3
5715,4.601571433688562,80,1490,0.0536912751677852,0.05,0.2,2.0,170,5,2,582.0,,0
931,4.185876037675928,93,1490,0.0624161073825503,0.05,0.2,2.0,170,21,1,0.0,"[32546,32945,33066,33189,33675,33678,33684]",7
624,4.7009178204534825,78,1490,0.0523489932885906,0.05,0.2,2.0,170,10,1,0.0,"[32268,33510,33669,33683,33699]",5
114,3.986894193844568,82,1490,0.0550335570469798,0.05,0.2,2.0,170,5,2,1.0,,0
3232,4.470791291584384,59,1490,0.0395973154362416,0.05,0.2,2.0,170,5,1,0.0,[32320],1
25191,4.678139011025431,79,1490,0.0530201342281879,0.05,0.2,2.0,170,7,1,0.0,"[29444,33668]",2
25267,4.209216228049986,83,1490,0.0557046979865771,0.05,0.2,2.0,170,7,2,18564.0,,0
25378,3.9892648586180064,65,1490,0.0436241610738255,0.05,0.2,2.0,170,5,2,24680.0,,0
25688,5.129047242611767,35,1490,0.023489932885906,0.05,0.2,2.0,170,9,1,0.0,[25972],1
25924,4.550985607837432,127,1490,0.085234899328859,0.05,0.2,2.0,170,11,2,20742.0,,0
25972,4.425305215996932,75,1490,0.0503355704697986,0.05,0.2,2.0,170,9,2,25688.0,,0
26442,5.0784808795314245,48,1490,0.0322147651006711,0.05,0.2,2.0,170,2,1,0.0,[33242],1
26644,4.250345122560288,85,1490,0.0570469798657718,0.05,0.2,2.0,170,11,1,0.0,"[33350,33588,33602]",3
26655,4.426493250325468,44,1490,0.0295302013422818,0.05,0.2,2.0,170,5,1,0.0,[26685],1
26685,3.520560868683924,51,1490,0.034228187919463,0.05,0.2,2.0,170,5,2,26655.0,,0
26991,4.464309458165881,75,1490,0.0503355704697986,0.05,0.2,2.0,170,7,1,0.0,[30656],1
27436,4.838810140221316,54,1490,0.036241610738255,0.05,0.2,2.0,170,13,1,0.0,"[27702,32443,33663,33687,33696]",5
27702,4.7088103631980776,114,1490,0.0765100671140939,0.05,0.2,2.0,170,6,2,27436.0,,0
28111,5.10515116250949,43,1490,0.0288590604026845,0.05,0.2,2.0,170,9,1,0.0,"[33204,33288,33611]",3
28810,4.234066086085059,45,1490,0.0302013422818791,0.05,0.2,2.0,170,4,2,1353.0,,0
28843,3.9544195017714014,34,1490,0.0228187919463087,0.05,0.2,2.0,170,2,2,11236.0,,0
