layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,4.927917772792462,0.05,0.2
1,67,2211,2211,1278.937209601619,0.5784428808691177,970,4.460195284617804,0.05,0.2
2,257,32896,32896,18630.254843074632,0.5663379998502746,970,4.518463213300224,0.05,0.2
