alpha,parent_layer,child_layer,avg_js_distance_mean,avg_js_distance_std,avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,pair_count_mean,eta_used_first,run_id_<lambda>
0.01,0.0,1.0,0.6275,0.0033,3,0.5213,0.0314,63.3333,0.05,"1, 2, 3"
0.01,1.0,2.0,0.5752,0.0083,3,0.6094,0.0075,242.6667,0.05,"1, 2, 3"
