alpha,layer,avg_js_distance_mean,avg_js_distance_std,run_count,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,entropy_run_count,avg_node_count,node_count_std,avg_total_documents,eta_used,included_runs
0.01,0.0,0.0,0.0,3,5.0127,0.0138,3,1.0,0.0,970.0,0.05,"1, 2, 3"
0.01,1.0,0.5361,0.0128,3,4.8573,0.0498,3,63.3333,3.7859,970.0,0.05,"1, 2, 3"
0.01,2.0,0.5699,0.005,3,4.6082,0.0692,3,242.6667,12.3423,970.0,0.05,"1, 2, 3"
