alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,std_js_distance_mean,median_js_distance_mean,min_js_distance_min,max_js_distance_max,pair_count_mean,eta_used_first,run_id_<lambda>
0.01,0.0,1.0,0.6275,0.0033,3,0.0376,0.632,0.3527,0.6792,63.3333,0.05,"1, 2, 3"
0.01,1.0,2.0,0.5752,0.0083,3,0.0705,0.579,0.2956,0.7038,242.6667,0.05,"1, 2, 3"
