alpha,layer,avg_branching_factor_mean,avg_branching_factor_std,avg_branching_factor_count,gini_doc_distribution_mean,gini_doc_distribution_std,gini_doc_distribution_count,gini_branch_distribution_mean,gini_branch_distribution_std,gini_branch_distribution_count,node_count_mean,node_count_std,total_documents_mean,run_id_<lambda>
0.01,0.0,63.3333,3.7859,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,970.0,"1, 2, 3"
0.01,1.0,3.8475,0.4128,3,0.5729,0.0356,3,0.4183,0.0451,3,63.3333,3.7859,970.0,"1, 2, 3"
0.01,2.0,0.0,0.0,3,0.4164,0.0349,3,0.0,0.0,3,242.6667,12.3423,970.0,"1, 2, 3"
