layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.896481401922198
1,44,946,946,417.5198363944225,0.441352892594527,970,5.349092340142278
2,186,17205,17205,8458.982844575672,0.49165840421828955,970,5.062267371829852
