depth,gamma,eta,alpha,layer,entropy_wavg_mean,entropy_wavg_std,distinctiveness_wavg_jsd_mean,distinctiveness_wavg_jsd_std,nodes_in_layer_mean,nodes_in_layer_std
3,0.001,0.1,0.1,0,4.941348272879758,0.04020066045669386,0.0,0.0,1.0,0.0
3,0.001,0.1,0.1,1,4.332651468593889,0.2154027487759984,0.6156284494862133,0.013292363762162742,42.2,3.420526275297414
3,0.001,0.1,0.1,2,4.200114305845599,0.20804273505967788,0.6195070529229927,0.013965724263169547,145.8,10.521406750050106
3,0.005,0.1,0.1,0,4.935029115207954,0.020708800556182433,0.0,0.0,1.0,0.0
3,0.005,0.1,0.1,1,4.410054190813983,0.036528038612928464,0.6050093154277563,0.007847892722018263,44.0,3.4641016151377544
3,0.005,0.1,0.1,2,4.144881110254319,0.09370353484643393,0.625411912367143,0.00786974361139004,153.33333333333334,12.096831541082699
3,0.01,0.1,0.1,0,4.929544431400956,0.03031379726421653,0.0,0.0,1.0,0.0
3,0.01,0.1,0.1,1,4.500387383200935,0.07812050688271416,0.6058182653390536,0.006740161771291313,41.333333333333336,3.7859388972001833
3,0.01,0.1,0.1,2,4.187584333503817,0.12017938386098662,0.6209323287674503,0.008671024021448303,152.66666666666666,4.163331998932268
3,0.05,0.1,0.1,0,4.912304683727759,0.02168791566107586,0.0,0.0,1.0,0.0
3,0.05,0.1,0.1,1,4.362622746810291,0.04214178309220672,0.6204764359101627,0.014452561259461635,41.666666666666664,2.0816659994661326
3,0.05,0.1,0.1,2,4.049701259532754,0.03419105137665352,0.6295586849421486,0.003642032744023138,174.33333333333334,11.06044001535804
3,0.1,0.1,0.1,0,4.889553329932859,0.03928480875272715,0.0,0.0,1.0,0.0
3,0.1,0.1,0.1,1,4.323893431285629,0.0616568402788337,0.6163696619109329,0.00800626122785581,42.666666666666664,2.5166114784235836
3,0.1,0.1,0.1,2,4.001661525517428,0.08104019545617298,0.6335806195961616,0.005871908167178795,183.33333333333334,6.110100926607783
