layer,node1_id,node2_id,js_distance,node1_doc_count,node2_doc_count
1,1,7,0.648933599696368,472,12
1,1,9,0.6504952998703544,472,13
1,1,35,0.6677049979424287,472,9
1,1,114,0.6623620350318395,472,10
1,1,160,0.6531693932015699,472,12
1,1,181,0.6419806942381788,472,8
1,1,206,0.6566119735754118,472,7
1,1,211,0.6807104333184155,472,11
1,1,266,0.6635595598814288,472,7
1,1,288,0.6529187508656124,472,10
1,1,312,0.6765995159597216,472,8
1,1,314,0.676239411199013,472,15
1,1,400,0.6823092614359686,472,13
1,1,425,0.6245466541321555,472,9
1,1,864,0.6547332359815244,472,12
1,1,978,0.6306119200633934,472,11
1,1,1192,0.6723850402716294,472,7
1,1,1293,0.6630371268555683,472,8
1,1,1551,0.6340019159185146,472,11
1,1,1843,0.6482700564953588,472,10
1,1,2182,0.6884407679965686,472,19
1,1,2238,0.6834138176990301,472,13
1,1,2480,0.6205876321143436,472,8
1,1,3284,0.6845741814868121,472,13
1,1,3396,0.6313744817365727,472,7
1,1,3565,0.6357777837175973,472,5
1,1,3876,0.6976619069070935,472,14
1,1,4182,0.6261315503292691,472,9
1,1,4337,0.647788237253816,472,8
1,1,4976,0.667157264551858,472,12
1,1,5068,0.6006730514719294,472,12
1,1,5620,0.6595912314242482,472,8
1,1,6089,0.6833140774052019,472,8
1,1,6209,0.6500714339111398,472,6
1,1,6250,0.6334666393967138,472,7
1,1,6291,0.6231508230853319,472,6
1,1,6305,0.622931807518741,472,1
1,1,6355,0.61703273042792,472,7
1,1,6385,0.622583916573957,472,10
1,1,6400,0.628874791630924,472,13
1,1,6490,0.6418390211586992,472,10
1,1,6554,0.6127135816225795,472,8
1,1,6582,0.6370442552696473,472,8
1,1,6638,0.6767767532173883,472,15
1,1,6833,0.6420397006017452,472,8
1,1,6893,0.6342889389735747,472,5
1,1,6938,0.658581702206797,472,11
1,1,6949,0.6532880769141705,472,9
1,1,7149,0.6412136444590693,472,5
1,1,7208,0.6367037162137796,472,2
1,1,7934,0.6578176764802051,472,3
1,1,8186,0.644172033614239,472,1
1,1,8349,0.593114672733874,472,1
1,1,8395,0.611603015019819,472,2
1,1,8421,0.6388117244198463,472,6
1,1,8545,0.6155086160159531,472,4
1,1,8572,0.6494408322473659,472,3
1,1,8580,0.6485767889960391,472,5
1,1,8586,0.6515406259264367,472,3
1,7,9,0.6611884915650617,12,13
1,7,35,0.5944789897438058,12,9
1,7,114,0.5532936518880758,12,10
1,7,160,0.5458145127464714,12,12
1,7,181,0.5821909004767216,12,8
1,7,206,0.5531205734522306,12,7
1,7,211,0.5914854955165657,12,11
1,7,266,0.5709122598763187,12,7
1,7,288,0.5330536064026788,12,10
1,7,312,0.530374024995348,12,8
1,7,314,0.5961794236624092,12,15
1,7,400,0.5914093937760624,12,13
1,7,425,0.5771292757696579,12,9
1,7,864,0.5628853488979938,12,12
1,7,978,0.5565261142657081,12,11
1,7,1192,0.5707628631188635,12,7
1,7,1293,0.54294146324526,12,8
1,7,1551,0.5168011400806629,12,11
1,7,1843,0.5358138720893653,12,10
1,7,2182,0.6086048565344457,12,19
1,7,2238,0.5875841399761763,12,13
1,7,2480,0.5613364329088247,12,8
1,7,3284,0.6007807509961042,12,13
1,7,3396,0.5203010932982308,12,7
1,7,3565,0.5093283528946105,12,5
1,7,3876,0.6096594746314109,12,14
1,7,4182,0.5131020892778753,12,9
1,7,4337,0.5174135009661806,12,8
1,7,4976,0.5627581141743062,12,12
1,7,5068,0.5915834196828691,12,12
1,7,5620,0.5865253491328242,12,8
1,7,6089,0.6224803290485318,12,8
1,7,6209,0.5561048116858744,12,6
1,7,6250,0.5834908946468659,12,7
1,7,6291,0.5188477530202744,12,6
1,7,6305,0.4980402050589474,12,1
1,7,6355,0.5434251179139636,12,7
1,7,6385,0.48814087490510255,12,10
1,7,6400,0.578130321639076,12,13
1,7,6490,0.5613077354936086,12,10
1,7,6554,0.6051063305711015,12,8
1,7,6582,0.5872088379354774,12,8
1,7,6638,0.588056665465848,12,15
1,7,6833,0.5468328500416525,12,8
1,7,6893,0.5360159992501476,12,5
1,7,6938,0.5606907990599564,12,11
1,7,6949,0.5319196570981278,12,9
1,7,7149,0.5421872364914992,12,5
1,7,7208,0.535227286149229,12,2
1,7,7934,0.5194864058660328,12,3
1,7,8186,0.557371482957441,12,1
1,7,8349,0.44528208310435263,12,1
1,7,8395,0.5512228761573685,12,2
1,7,8421,0.5146571140027001,12,6
1,7,8545,0.5025418643165115,12,4
1,7,8572,0.5344446958832936,12,3
1,7,8580,0.5249993588404782,12,5
1,7,8586,0.5430464202861137,12,3
1,9,35,0.6449521133118361,13,9
1,9,114,0.6665985096761571,13,10
1,9,160,0.6394423766290428,13,12
1,9,181,0.686660308938739,13,8
1,9,206,0.6605076211127063,13,7
1,9,211,0.6855887169400299,13,11
1,9,266,0.6826696224062265,13,7
1,9,288,0.658408029937223,13,10
1,9,312,0.6693587690891922,13,8
1,9,314,0.6907420587753212,13,15
1,9,400,0.6892196488045677,13,13
1,9,425,0.6621025170331772,13,9
1,9,864,0.642869544449045,13,12
1,9,978,0.663198262089105,13,11
1,9,1192,0.677418213103152,13,7
1,9,1293,0.6686355964872884,13,8
1,9,1551,0.6522307515187077,13,11
1,9,1843,0.6580300210328315,13,10
1,9,2182,0.6947305387500237,13,19
1,9,2238,0.6537737026541857,13,13
1,9,2480,0.5929144805163492,13,8
1,9,3284,0.6995707828281255,13,13
1,9,3396,0.6549567999855238,13,7
1,9,3565,0.65216149649299,13,5
1,9,3876,0.6934990699398372,13,14
1,9,4182,0.6239730147684781,13,9
1,9,4337,0.6613789851945417,13,8
1,9,4976,0.6695057889769217,13,12
1,9,5068,0.6670532454091727,13,12
1,9,5620,0.6810066714157055,13,8
1,9,6089,0.6994453983420065,13,8
1,9,6209,0.671171168769661,13,6
1,9,6250,0.6579844344580336,13,7
1,9,6291,0.6442636418159021,13,6
1,9,6305,0.635628646908589,13,1
1,9,6355,0.644444844519086,13,7
1,9,6385,0.6286164899124199,13,10
1,9,6400,0.6766067413038056,13,13
1,9,6490,0.6664595308692058,13,10
1,9,6554,0.623996363881846,13,8
1,9,6582,0.6790863540832083,13,8
1,9,6638,0.675641174184568,13,15
1,9,6833,0.6654653524381172,13,8
1,9,6893,0.6570004312164396,13,5
1,9,6938,0.6806890819385492,13,11
1,9,6949,0.6655685749372411,13,9
1,9,7149,0.6589202907092957,13,5
1,9,7208,0.6426341753943191,13,2
1,9,7934,0.6586550417016108,13,3
1,9,8186,0.6704667185624382,13,1
1,9,8349,0.6117376910999098,13,1
1,9,8395,0.6416965229226361,13,2
1,9,8421,0.6477281579837558,13,6
1,9,8545,0.6354563084771618,13,4
1,9,8572,0.6533174845802653,13,3
1,9,8580,0.651438338199472,13,5
1,9,8586,0.656312814863219,13,3
1,35,114,0.5825945331010044,9,10
1,35,160,0.5241945401187924,9,12
1,35,181,0.6146883748854459,9,8
1,35,206,0.578425721472666,9,7
1,35,211,0.6126276134540792,9,11
1,35,266,0.6113213715438206,9,7
1,35,288,0.5457942304744721,9,10
1,35,312,0.6009269984877678,9,8
1,35,314,0.6240059614584994,9,15
1,35,400,0.5927856826788457,9,13
1,35,425,0.5773892746070322,9,9
1,35,864,0.587638724314792,9,12
1,35,978,0.5840991257048304,9,11
1,35,1192,0.5950608355563487,9,7
1,35,1293,0.56905517447467,9,8
1,35,1551,0.5574996859897792,9,11
1,35,1843,0.5619080818904286,9,10
1,35,2182,0.6263779628379198,9,19
1,35,2238,0.6015452938403502,9,13
1,35,2480,0.5486794551534138,9,8
1,35,3284,0.6214152359191095,9,13
1,35,3396,0.5594605542872122,9,7
1,35,3565,0.5577886172655773,9,5
1,35,3876,0.626486366310778,9,14
1,35,4182,0.5456310100175751,9,9
1,35,4337,0.5660293949607847,9,8
1,35,4976,0.5657051673773666,9,12
1,35,5068,0.6048101684821666,9,12
1,35,5620,0.6028262100266163,9,8
1,35,6089,0.6396716711995099,9,8
1,35,6209,0.5850854169153665,9,6
1,35,6250,0.5884995911574985,9,7
1,35,6291,0.5504738933876019,9,6
1,35,6305,0.5254629666838104,9,1
1,35,6355,0.5561186922142188,9,7
1,35,6385,0.5208384842229573,9,10
1,35,6400,0.5989935569033862,9,13
1,35,6490,0.5770711377090267,9,10
1,35,6554,0.620930422293122,9,8
1,35,6582,0.6117480644705103,9,8
1,35,6638,0.6110928313649385,9,15
1,35,6833,0.5827035664517866,9,8
1,35,6893,0.5520651627679438,9,5
1,35,6938,0.5863127788343288,9,11
1,35,6949,0.5753366208825927,9,9
1,35,7149,0.5703265122443808,9,5
1,35,7208,0.5719627228908573,9,2
1,35,7934,0.5737683669110921,9,3
1,35,8186,0.5863056071170822,9,1
1,35,8349,0.4890716708761907,9,1
1,35,8395,0.5716297265681335,9,2
1,35,8421,0.5469969735627801,9,6
1,35,8545,0.5454737234735265,9,4
1,35,8572,0.5661649911731175,9,3
1,35,8580,0.5690015536356979,9,5
1,35,8586,0.5710507681072647,9,3
1,114,160,0.5375162383007175,10,12
1,114,181,0.5825657333004309,10,8
1,114,206,0.5578143890352241,10,7
1,114,211,0.5662132206748797,10,11
1,114,266,0.5663719805383425,10,7
1,114,288,0.5061293208371481,10,10
1,114,312,0.5510077244668811,10,8
1,114,314,0.5794219350248883,10,15
1,114,400,0.5539222844474465,10,13
