layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy,eta_used,alpha_folder
0,1,0,0,0.0,0.0,970,5.011663535962277,0.05,0.05
1,60,1770,1770,965.6385036143672,0.5455584766182866,970,4.741450314483671,0.05,0.05
2,244,29646,29646,16836.490341621935,0.5679177744593515,970,4.571617217025423,0.05,0.05
