parent_layer,child_layer,avg_js_distance,js_distance_std,pair_count,total_parent_docs,total_child_docs
0,1,0.6119,0.0607,16,15520,970
1,2,0.5028,0.1517,69,22169,970
2,3,0.4966,0.1074,181,11272,970
