node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_used,alpha_folder,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.960477294945372,787,1490,0.5281879194630873,0.05,0.05,2.0,175,970,0,,"[1,582,123,165,5,1650,1265,471,178,81,2741,2835,125,41,3232,2380,736,4765,4972,5571,34,3776,572,6248,6243,79,13,624,7936,7740,4214,1784,1353,931,204,422,8087,8292,7160,5370,7013,6295,6182,1788,2231,8871,4784,1046,8665,5845,8506,9106,9118,9138,209,9127,9041,9163,9133,9249]",60
1,4.756324250863455,591,1490,0.3966442953020134,0.05,0.05,2.0,175,390,1,0.0,"[2,3,23,101,114,117,130,135,200,361,455,588,593,717,801,1412,1503,2166,2550,2863,2904,3091,3108,3327,4008,4114,4202,4481,5199,5277,5847,5970,6211,6427,7197,7363,7387,7401,7539,7786,8112,8181,8252,8323,8359,8420,8568,8641,8699,8809,8861,8885,8946,9135,9206,9238,9260,9290,9292,9295,9300]",61
2,5.085815894476895,484,1490,0.3248322147651006,0.05,0.05,2.0,175,90,2,1.0,,0
3,4.111559034410431,61,1490,0.0409395973154362,0.05,0.05,2.0,175,3,2,1.0,,0
5,5.1151294270521,25,1490,0.0167785234899328,0.05,0.05,2.0,175,9,1,0.0,"[1231,7456,9215]",3
13,4.653870215406009,66,1490,0.0442953020134228,0.05,0.05,2.0,175,13,1,0.0,"[7138,8431,9196]",3
23,4.52507664474559,171,1490,0.1147651006711409,0.05,0.05,2.0,175,12,2,1.0,,0
34,4.840234305737298,46,1490,0.0308724832214765,0.05,0.05,2.0,175,15,1,0.0,"[5900,7196,9244,9284]",4
41,4.9424270440697216,37,1490,0.0248322147651006,0.05,0.05,2.0,175,11,1,0.0,"[3240,9256,9265]",3
79,4.339246865595548,54,1490,0.036241610738255,0.05,0.05,2.0,175,8,1,0.0,"[7058,8493,8683]",3
81,4.576794336540759,93,1490,0.0624161073825503,0.05,0.05,2.0,175,18,1,0.0,"[2538,7938,8034,9259]",4
101,4.024604447562535,158,1490,0.1060402684563758,0.05,0.05,2.0,175,9,2,1.0,,0
114,4.131921394001782,39,1490,0.0261744966442953,0.05,0.05,2.0,175,3,2,1.0,,0
117,4.532165562824844,147,1490,0.0986577181208053,0.05,0.05,2.0,175,10,2,1.0,,0
123,4.865468257786037,45,1490,0.0302013422818791,0.05,0.05,2.0,175,11,1,0.0,"[847,3169,8764,9283]",4
125,5.023574476467453,55,1490,0.0369127516778523,0.05,0.05,2.0,175,21,1,0.0,"[3188,8458,9171,9221,9257,9261,9279,9304]",8
130,4.583760460698322,106,1490,0.0711409395973154,0.05,0.05,2.0,175,6,2,1.0,,0
135,4.026389737970325,49,1490,0.0328859060402684,0.05,0.05,2.0,175,6,2,1.0,,0
165,4.472877655674778,86,1490,0.0577181208053691,0.05,0.05,2.0,175,17,1,0.0,"[1224,5817,8426,9016,9286]",5
178,6.149725283943296,7,1490,0.0046979865771812,0.05,0.05,2.0,175,6,1,0.0,"[2386,8930,9264]",3
200,4.257235307760331,101,1490,0.0677852348993288,0.05,0.05,2.0,175,6,2,1.0,,0
204,4.357836054078886,79,1490,0.0530201342281879,0.05,0.05,2.0,175,9,1,0.0,"[8667,9028,9254]",3
209,4.709593276098484,70,1490,0.046979865771812,0.05,0.05,2.0,175,4,1,0.0,"[9161,9301]",2
361,4.548516979471137,133,1490,0.0892617449664429,0.05,0.05,2.0,175,10,2,1.0,,0
422,3.5136645182114083,71,1490,0.0476510067114094,0.05,0.05,2.0,175,15,1,0.0,"[8696,8725,9086,9166,9278]",5
455,4.550569245664423,112,1490,0.0751677852348993,0.05,0.05,2.0,175,6,2,1.0,,0
471,4.659076923408885,55,1490,0.0369127516778523,0.05,0.05,2.0,175,7,1,0.0,"[2143,7734,9273]",3
572,3.9673911160484256,54,1490,0.036241610738255,0.05,0.05,2.0,175,12,1,0.0,"[6811,8936,9034,9136]",4
582,4.764949229990386,53,1490,0.0355704697986577,0.05,0.05,2.0,175,21,1,0.0,"[583,968,5715,9239,9255,9267,9272,9282]",8
583,3.998708603822042,87,1490,0.0583892617449664,0.05,0.05,2.0,175,6,2,582.0,,0
588,4.269963706655756,59,1490,0.0395973154362416,0.05,0.05,2.0,175,4,2,1.0,,0
593,4.557322589180969,205,1490,0.1375838926174496,0.05,0.05,2.0,175,16,2,1.0,,0
624,7.306531398939504,0,1490,0.0,0.05,0.05,2.0,175,9,1,0.0,"[7406,9219,9226]",3
717,4.0269571699415625,73,1490,0.048993288590604,0.05,0.05,2.0,175,6,2,1.0,,0
736,4.752129772827423,91,1490,0.0610738255033557,0.05,0.05,2.0,175,14,1,0.0,"[4846,9116,9232,9271]",4
801,4.179061394222682,98,1490,0.0657718120805369,0.05,0.05,2.0,175,9,2,1.0,,0
847,4.149097424037376,69,1490,0.0463087248322147,0.05,0.05,2.0,175,4,2,123.0,,0
931,4.231457661752038,76,1490,0.0510067114093959,0.05,0.05,2.0,175,10,1,0.0,"[8508,8576]",2
968,4.369399700173268,91,1490,0.0610738255033557,0.05,0.05,2.0,175,6,2,582.0,,0
1046,4.872757723549307,49,1490,0.0328859060402684,0.05,0.05,2.0,175,7,1,0.0,"[9048,9263]",2
1224,3.876806132605256,52,1490,0.0348993288590604,0.05,0.05,2.0,175,4,2,165.0,,0
1231,4.180953901349911,63,1490,0.0422818791946308,0.05,0.05,2.0,175,5,2,5.0,,0
1265,4.23682075636821,45,1490,0.0302013422818791,0.05,0.05,2.0,175,19,1,0.0,"[1695,8242,8255,9076]",4
1353,4.356038474760302,71,1490,0.0476510067114094,0.05,0.05,2.0,175,16,1,0.0,"[8437,8560,9198,9287]",4
1412,4.2151509514649135,63,1490,0.0422818791946308,0.05,0.05,2.0,175,6,2,1.0,,0
1503,3.965360016255768,89,1490,0.059731543624161,0.05,0.05,2.0,175,5,2,1.0,,0
