depth,gamma,eta,alpha,layer,entropy_wavg,distinctiveness_wavg_jsd,nodes_in_layer
4,0.01,0.1,0.1,0,4.790362893959555,0.0,1
4,0.01,0.1,0.1,1,4.491890724181753,0.5534076666653722,13
4,0.01,0.1,0.1,2,3.7535779337802753,0.6424253286101197,73
4,0.01,0.1,0.1,3,3.920906569861429,0.6476795773669286,181
