layer,node_count,total_pairs,max_pairs,sum_js_distance,avg_js_distance,total_documents,weighted_avg_renyi_entropy
0,1,0,0,0.0,0.0,970,4.799290522463842
1,13,78,78,35.10828539908026,0.45010622306513154,970,4.959180727053753
2,73,2628,2628,1087.7290427919454,0.4138999401795835,970,4.971571631674374
3,181,16290,16290,7706.060162111747,0.4730546446968537,970,5.136603485121685
